rup_mag,rup_width,rup_rake,rup_hypo_depth,dist_rhypo,dist_rjb,site_vs30,result_type,damping,pga,0.2,1.0,2.0
8.0,10.0000,0.0,10.0,11.7080,11.7080,800.0,MEAN,5,1.63900609e-01,3.50321654e-01,1.17440044e-01,6.82703344e-02
8.0,10.0000,0.0,10.0,13.7070,13.7070,800.0,MEAN,5,1.48847236e-01,3.08207360e-01,1.09372734e-01,6.54576988e-02
8.0,10.0000,0.0,10.0,16.0480,16.0480,800.0,MEAN,5,1.34553557e-01,2.69733584e-01,1.01527536e-01,6.25970697e-02
8.0,10.0000,0.0,10.0,18.7890,18.7890,800.0,MEAN,5,1.21101805e-01,2.34966035e-01,9.39494390e-02,5.96931482e-02
8.0,10.0000,0.0,10.0,21.9980,21.9980,800.0,MEAN,5,1.08540104e-01,2.03845444e-01,8.66716664e-02,5.67492961e-02
8.0,10.0000,0.0,10.0,25.7540,25.7540,800.0,MEAN,5,9.68869154e-02,1.76216015e-01,7.97166700e-02,5.37680982e-02
8.0,10.0000,0.0,10.0,30.1530,30.1530,800.0,MEAN,5,8.61247542e-02,1.51827602e-01,7.30902426e-02,5.07487100e-02
8.0,10.0000,0.0,10.0,35.3020,35.3020,800.0,MEAN,5,7.62288749e-02,1.30415446e-01,6.67967930e-02,4.76935110e-02
8.0,10.0000,0.0,10.0,41.3310,41.3310,800.0,MEAN,5,6.71496190e-02,1.11668900e-01,6.08266318e-02,4.46023133e-02
8.0,10.0000,0.0,10.0,48.3900,48.3900,800.0,MEAN,5,5.88342123e-02,9.52862325e-02,5.51677964e-02,4.14777048e-02
8.0,10.0000,0.0,10.0,56.6540,56.6540,800.0,MEAN,5,5.12287355e-02,8.09806379e-02,4.98062619e-02,3.83252752e-02
8.0,10.0000,0.0,10.0,66.3290,66.3290,800.0,MEAN,5,4.42822306e-02,6.84893619e-02,4.47278640e-02,3.51544975e-02
8.0,10.0000,0.0,10.0,77.6570,77.6570,800.0,MEAN,5,3.79519445e-02,5.75831387e-02,3.99217146e-02,3.19804775e-02
8.0,10.0000,0.0,10.0,90.9190,90.9190,800.0,MEAN,5,3.22071568e-02,4.80714468e-02,3.53835607e-02,2.88258561e-02
8.0,10.0000,0.0,10.0,106.4460,106.4460,800.0,MEAN,5,2.70269512e-02,3.97972625e-02,3.11152699e-02,2.57200278e-02
8.0,10.0000,0.0,10.0,124.6250,124.6250,800.0,MEAN,5,2.23994745e-02,3.26350387e-02,2.71259130e-02,2.26991321e-02
8.0,10.0000,0.0,10.0,145.9080,145.9080,800.0,MEAN,5,1.83176906e-02,2.64834599e-02,2.34303530e-02,1.98040748e-02
8.0,10.0000,0.0,10.0,170.8260,170.8260,800.0,MEAN,5,1.47734097e-02,2.12561502e-02,2.00460104e-02,1.70768735e-02
8.0,10.0000,0.0,10.0,200.0000,200.0000,800.0,MEAN,5,1.17523736e-02,1.68741227e-02,1.69896444e-02,1.45568629e-02
