rup_mag,rup_rake,dist_rrup,site_vs30,rup_hypo_depth,result_type,mmi
7,0,57.63489453,170,20,TOTAL_STDDEV,0.434165867
7,0,30.13521875,170,20,TOTAL_STDDEV,0.434165867
7,0,14.60931152,170,20,TOTAL_STDDEV,0.434165867
8,0,878.943625,170,20,TOTAL_STDDEV,0.434165867
8,0,464.6945,170,20,TOTAL_STDDEV,0.434165867
8,0,245.6780469,170,20,TOTAL_STDDEV,0.434165867
8,0,129.8712344,170,20,TOTAL_STDDEV,0.434165867
8,0,68.59713281,170,20,TOTAL_STDDEV,0.434165867
8,0,36.03087891,170,20,TOTAL_STDDEV,0.434165867
9,0,1977.1555,170,20,TOTAL_STDDEV,0.434165867
9,0,1045.318375,170,20,TOTAL_STDDEV,0.434165867
9,0,552.6569375,170,20,TOTAL_STDDEV,0.434165867
9,0,292.185125,170,20,TOTAL_STDDEV,0.434165867
9,0,154.4648125,170,20,TOTAL_STDDEV,0.434165867
9,0,81.61894531,170,20,TOTAL_STDDEV,0.434165867
9,0,42.98531641,170,20,TOTAL_STDDEV,0.434165867
4,0,34.01726563,200,20,TOTAL_STDDEV,0.434165867
4,0,16.97464648,200,20,TOTAL_STDDEV,0.434165867
4,0,0.001,200,20,TOTAL_STDDEV,0.434165867
4,0,0.001,200,20,TOTAL_STDDEV,0.434165867
4,0,0.001,200,20,TOTAL_STDDEV,0.434165867
4,0,0.001,200,20,TOTAL_STDDEV,0.434165867
5,0,77.15785938,200,20,TOTAL_STDDEV,0.434165867
5,0,40.6068125,200,20,TOTAL_STDDEV,0.434165867
5,0,20.77679102,200,20,TOTAL_STDDEV,0.434165867
5,0,7.363568359,200,20,TOTAL_STDDEV,0.434165867
5,0,0.001,200,20,TOTAL_STDDEV,0.434165867
5,0,0.001,200,20,TOTAL_STDDEV,0.434165867
6,0,173.688875,200,20,TOTAL_STDDEV,0.434165867
6,0,91.79235938,200,20,TOTAL_STDDEV,0.434165867
6,0,48.39898828,200,20,TOTAL_STDDEV,0.434165867
6,0,25.10792188,200,20,TOTAL_STDDEV,0.434165867
6,0,11.22122949,200,20,TOTAL_STDDEV,0.434165867
6,0,0.001,200,20,TOTAL_STDDEV,0.434165867
7,0,390.7320313,200,20,TOTAL_STDDEV,0.434165867
7,0,206.5720781,200,20,TOTAL_STDDEV,0.434165867
7,0,109.1883906,200,20,TOTAL_STDDEV,0.434165867
7,0,57.63489453,200,20,TOTAL_STDDEV,0.434165867
7,0,30.13521875,200,20,TOTAL_STDDEV,0.434165867
7,0,14.60931152,200,20,TOTAL_STDDEV,0.434165867
8,0,878.943625,200,20,TOTAL_STDDEV,0.434165867
8,0,464.6945,200,20,TOTAL_STDDEV,0.434165867
8,0,245.6780469,200,20,TOTAL_STDDEV,0.434165867
8,0,129.8712344,200,20,TOTAL_STDDEV,0.434165867
8,0,68.59713281,200,20,TOTAL_STDDEV,0.434165867
8,0,36.03087891,200,20,TOTAL_STDDEV,0.434165867
9,0,1977.1555,200,20,TOTAL_STDDEV,0.434165867
9,0,1045.318375,200,20,TOTAL_STDDEV,0.434165867
9,0,552.6569375,200,20,TOTAL_STDDEV,0.434165867
9,0,292.185125,200,20,TOTAL_STDDEV,0.434165867
9,0,154.4648125,200,20,TOTAL_STDDEV,0.434165867
9,0,81.61894531,200,20,TOTAL_STDDEV,0.434165867
9,0,42.98531641,200,20,TOTAL_STDDEV,0.434165867
4,0,34.01726563,500,20,TOTAL_STDDEV,0.434165867
4,0,16.97464648,500,20,TOTAL_STDDEV,0.434165867
4,0,0.001,500,20,TOTAL_STDDEV,0.434165867
4,0,0.001,500,20,TOTAL_STDDEV,0.434165867
4,0,0.001,500,20,TOTAL_STDDEV,0.434165867
4,0,0.001,500,20,TOTAL_STDDEV,0.434165867
5,0,77.15785938,500,20,TOTAL_STDDEV,0.434165867
5,0,40.6068125,500,20,TOTAL_STDDEV,0.434165867
5,0,20.77679102,500,20,TOTAL_STDDEV,0.434165867
5,0,7.363568359,500,20,TOTAL_STDDEV,0.434165867
5,0,0.001,500,20,TOTAL_STDDEV,0.434165867
5,0,0.001,500,20,TOTAL_STDDEV,0.434165867
6,0,173.688875,500,20,TOTAL_STDDEV,0.434165867
6,0,91.79235938,500,20,TOTAL_STDDEV,0.434165867
6,0,48.39898828,500,20,TOTAL_STDDEV,0.434165867
6,0,25.10792188,500,20,TOTAL_STDDEV,0.434165867
6,0,11.22122949,500,20,TOTAL_STDDEV,0.434165867
6,0,0.001,500,20,TOTAL_STDDEV,0.434165867
7,0,390.7320313,500,20,TOTAL_STDDEV,0.434165867
7,0,206.5720781,500,20,TOTAL_STDDEV,0.434165867
7,0,109.1883906,500,20,TOTAL_STDDEV,0.434165867
7,0,57.63489453,500,20,TOTAL_STDDEV,0.434165867
7,0,30.13521875,500,20,TOTAL_STDDEV,0.434165867
7,0,14.60931152,500,20,TOTAL_STDDEV,0.434165867
8,0,878.943625,500,20,TOTAL_STDDEV,0.434165867
8,0,464.6945,500,20,TOTAL_STDDEV,0.434165867
8,0,245.6780469,500,20,TOTAL_STDDEV,0.434165867
8,0,129.8712344,500,20,TOTAL_STDDEV,0.434165867
8,0,68.59713281,500,20,TOTAL_STDDEV,0.434165867
8,0,36.03087891,500,20,TOTAL_STDDEV,0.434165867
9,0,1977.1555,500,20,TOTAL_STDDEV,0.434165867
9,0,1045.318375,500,20,TOTAL_STDDEV,0.434165867
9,0,552.6569375,500,20,TOTAL_STDDEV,0.434165867
9,0,292.185125,500,20,TOTAL_STDDEV,0.434165867
9,0,154.4648125,500,20,TOTAL_STDDEV,0.434165867
9,0,81.61894531,500,20,TOTAL_STDDEV,0.434165867
9,0,42.98531641,500,20,TOTAL_STDDEV,0.434165867
4,0,34.01726563,1000,20,TOTAL_STDDEV,0.434165867
4,0,16.97464648,1000,20,TOTAL_STDDEV,0.434165867
4,0,0.001,1000,20,TOTAL_STDDEV,0.434165867
4,0,0.001,1000,20,TOTAL_STDDEV,0.434165867
4,0,0.001,1000,20,TOTAL_STDDEV,0.434165867
4,0,0.001,1000,20,TOTAL_STDDEV,0.434165867
5,0,77.15785938,1000,20,TOTAL_STDDEV,0.434165867
5,0,40.6068125,1000,20,TOTAL_STDDEV,0.434165867
5,0,20.77679102,1000,20,TOTAL_STDDEV,0.434165867
5,0,7.363568359,1000,20,TOTAL_STDDEV,0.434165867
5,0,0.001,1000,20,TOTAL_STDDEV,0.434165867
5,0,0.001,1000,20,TOTAL_STDDEV,0.434165867
6,0,173.688875,1000,20,TOTAL_STDDEV,0.434165867
