rup_mag,rup_rake,rup_dip,rup_ztor,rup_width,rup_hypo_depth,dist_rrup,dist_rjb,dist_rx,site_vs30,site_z2pt5,result_type,damping,pgv,pga,0.010,0.050,0.100,0.150,0.200,0.300,0.500,0.750,1.000,1.500,2.000,3.000,4.000,5.000,7.500,10.000
4.00,-90.00,30.00,0.00,1.13,0.00,119.01,119.02,120.00,570.00,2.50,INTRA_EVENT_STDDEV,5.0,6.550000E-01,7.339601E-01,7.339601E-01,7.769280E-01,7.689234E-01,7.689399E-01,7.609616E-01,7.269962E-01,6.630000E-01,6.060000E-01,5.790000E-01,5.410000E-01,5.290000E-01,5.270000E-01,5.210000E-01,5.020000E-01,4.570000E-01,4.410000E-01
4.00,-90.00,30.00,0.00,1.13,0.00,0.00,0.00,0.00,570.00,2.50,INTRA_EVENT_STDDEV,5.0,6.550000E-01,7.271671E-01,7.271671E-01,7.647813E-01,7.560198E-01,7.587509E-01,7.544183E-01,7.263355E-01,6.630000E-01,6.060000E-01,5.790000E-01,5.410000E-01,5.290000E-01,5.270000E-01,5.210000E-01,5.020000E-01,4.570000E-01,4.410000E-01
4.00,-90.00,30.00,0.00,1.13,0.00,20.00,20.00,-20.00,570.00,2.50,INTRA_EVENT_STDDEV,5.0,6.550000E-01,7.330665E-01,7.330665E-01,7.753188E-01,7.672119E-01,7.675960E-01,7.601027E-01,7.269100E-01,6.630000E-01,6.060000E-01,5.790000E-01,5.410000E-01,5.290000E-01,5.270000E-01,5.210000E-01,5.020000E-01,4.570000E-01,4.410000E-01
4.00,-90.00,30.00,0.00,1.13,0.00,40.00,40.00,-40.00,570.00,2.50,INTRA_EVENT_STDDEV,5.0,6.550000E-01,7.337072E-01,7.337072E-01,7.764722E-01,7.684386E-01,7.685594E-01,7.607186E-01,7.269718E-01,6.630000E-01,6.060000E-01,5.790000E-01,5.410000E-01,5.290000E-01,5.270000E-01,5.210000E-01,5.020000E-01,4.570000E-01,4.410000E-01
4.00,-90.00,30.00,0.00,1.13,0.00,60.00,60.00,-60.00,570.00,2.50,INTRA_EVENT_STDDEV,5.0,6.550000E-01,7.338557E-01,7.338557E-01,7.767398E-01,7.687232E-01,7.687828E-01,7.608613E-01,7.269861E-01,6.630000E-01,6.060000E-01,5.790000E-01,5.410000E-01,5.290000E-01,5.270000E-01,5.210000E-01,5.020000E-01,4.570000E-01,4.410000E-01
4.00,-90.00,30.00,0.00,1.13,0.00,80.00,80.00,-80.00,570.00,2.50,INTRA_EVENT_STDDEV,5.0,6.550000E-01,7.339131E-01,7.339131E-01,7.768433E-01,7.688333E-01,7.688692E-01,7.609165E-01,7.269916E-01,6.630000E-01,6.060000E-01,5.790000E-01,5.410000E-01,5.290000E-01,5.270000E-01,5.210000E-01,5.020000E-01,4.570000E-01,4.410000E-01
4.00,-90.00,30.00,0.00,1.13,0.00,100.00,100.00,-100.00,570.00,2.50,INTRA_EVENT_STDDEV,5.0,6.550000E-01,7.339436E-01,7.339436E-01,7.768984E-01,7.688919E-01,7.689152E-01,7.609458E-01,7.269946E-01,6.630000E-01,6.060000E-01,5.790000E-01,5.410000E-01,5.290000E-01,5.270000E-01,5.210000E-01,5.020000E-01,4.570000E-01,4.410000E-01
4.00,-90.00,30.00,0.00,1.13,0.00,120.00,120.00,-120.00,570.00,2.50,INTRA_EVENT_STDDEV,5.0,6.550000E-01,7.339607E-01,7.339607E-01,7.769292E-01,7.689247E-01,7.689409E-01,7.609623E-01,7.269962E-01,6.630000E-01,6.060000E-01,5.790000E-01,5.410000E-01,5.290000E-01,5.270000E-01,5.210000E-01,5.020000E-01,4.570000E-01,4.410000E-01
4.00,-90.00,30.00,0.00,1.13,0.00,0.00,0.00,0.00,760.00,1.00,INTRA_EVENT_STDDEV,5.0,6.550000E-01,7.322132E-01,7.322132E-01,7.715428E-01,7.633741E-01,7.661097E-01,7.610000E-01,7.270000E-01,6.630000E-01,6.060000E-01,5.790000E-01,5.410000E-01,5.290000E-01,5.270000E-01,5.210000E-01,5.020000E-01,4.570000E-01,4.410000E-01
4.00,-90.00,30.00,0.00,1.13,0.00,19.03,19.02,20.00,760.00,1.00,INTRA_EVENT_STDDEV,5.0,6.550000E-01,7.337377E-01,7.337377E-01,7.761950E-01,7.681699E-01,7.685753E-01,7.610000E-01,7.270000E-01,6.630000E-01,6.060000E-01,5.790000E-01,5.410000E-01,5.290000E-01,5.270000E-01,5.210000E-01,5.020000E-01,4.570000E-01,4.410000E-01
