rup_mag,dist_rhypo,result_type,mmi 
6.8,178,MEAN,4.607
6.8,200,MEAN,4.365
6.8,224,MEAN,4.116
6.8,250,MEAN,3.861
6.9,1.00E-01,MEAN,13.92
6.9,1,MEAN,11.372
6.9,2,MEAN,10.601
6.9,3,MEAN,10.148
6.9,4,MEAN,9.825
6.9,5,MEAN,9.573
6.9,6,MEAN,9.366
6.9,7,MEAN,9.191
6.9,8,MEAN,9.038
6.9,9,MEAN,8.903
6.9,10,MEAN,8.781
6.9,11,MEAN,8.671
6.9,12,MEAN,8.57
6.9,14,MEAN,8.389
6.9,16,MEAN,8.231
6.9,18,MEAN,8.091
6.9,20,MEAN,7.964
6.9,22,MEAN,7.849
6.9,25,MEAN,7.692
6.9,28,MEAN,7.551
6.9,32,MEAN,7.383
6.9,35,MEAN,7.269
6.9,40,MEAN,7.096
6.9,45,MEAN,6.94
6.9,50,MEAN,6.798
6.9,56,MEAN,6.642
6.9,63,MEAN,6.476
6.9,71,MEAN,6.302
6.9,79,MEAN,6.143
6.9,89,MEAN,5.96
6.9,100,MEAN,5.775
6.9,112,MEAN,5.588
6.9,126,MEAN,5.386
6.9,141,MEAN,5.185
6.9,158,MEAN,4.971
6.9,178,MEAN,4.737
6.9,200,MEAN,4.495
6.9,224,MEAN,4.247
6.9,250,MEAN,3.992
7,1.00E-01,MEAN,14.05
7,1,MEAN,11.502
7,2,MEAN,10.731
7,3,MEAN,10.278
7,4,MEAN,9.955
7,5,MEAN,9.703
7,6,MEAN,9.497
7,7,MEAN,9.321
7,8,MEAN,9.168
7,9,MEAN,9.033
7,10,MEAN,8.912
7,11,MEAN,8.801
7,12,MEAN,8.7
7,14,MEAN,8.519
7,16,MEAN,8.361
7,18,MEAN,8.221
7,20,MEAN,8.094
7,22,MEAN,7.979
7,25,MEAN,7.822
7,28,MEAN,7.682
7,32,MEAN,7.513
7,35,MEAN,7.399
7,40,MEAN,7.226
7,45,MEAN,7.07
7,50,MEAN,6.928
7,56,MEAN,6.772
7,63,MEAN,6.606
7,71,MEAN,6.432
7,79,MEAN,6.273
7,89,MEAN,6.09
7,100,MEAN,5.905
7,112,MEAN,5.718
7,126,MEAN,5.516
7,141,MEAN,5.315
7,158,MEAN,5.101
7,178,MEAN,4.867
7,200,MEAN,4.625
7,224,MEAN,4.377
7,250,MEAN,4.122
7.1,1.00E-01,MEAN,14.181
7.1,1,MEAN,11.632
7.1,2,MEAN,10.861
7.1,3,MEAN,10.408
7.1,4,MEAN,10.085
7.1,5,MEAN,9.833
7.1,6,MEAN,9.627
7.1,7,MEAN,9.451
7.1,8,MEAN,9.299
7.1,9,MEAN,9.163
7.1,10,MEAN,9.042
7.1,11,MEAN,8.931
7.1,12,MEAN,8.83
7.1,14,MEAN,8.649
7.1,16,MEAN,8.492
7.1,18,MEAN,8.351
7.1,20,MEAN,8.224
7.1,22,MEAN,8.109
7.1,25,MEAN,7.952
7.1,28,MEAN,7.812
7.1,32,MEAN,7.644
7.1,35,MEAN,7.529
7.1,40,MEAN,7.356
7.1,45,MEAN,7.2
7.1,50,MEAN,7.058
7.1,56,MEAN,6.902
7.1,63,MEAN,6.736
7.1,71,MEAN,6.563
7.1,79,MEAN,6.403
7.1,89,MEAN,6.22
7.1,100,MEAN,6.035
7.1,112,MEAN,5.848
7.1,126,MEAN,5.646
7.1,141,MEAN,5.445
7.1,158,MEAN,5.232
7.1,178,MEAN,4.997
7.1,200,MEAN,4.755
7.1,224,MEAN,4.507
7.1,250,MEAN,4.252
7.2,1.00E-01,MEAN,14.311
7.2,1,MEAN,11.762
7.2,2,MEAN,10.991
7.2,3,MEAN,10.538
7.2,4,MEAN,10.215
7.2,5,MEAN,9.963
7.2,6,MEAN,9.757
7.2,7,MEAN,9.581
7.2,8,MEAN,9.429
7.2,9,MEAN,9.293
7.2,10,MEAN,9.172
7.2,11,MEAN,9.061
7.2,12,MEAN,8.96
7.2,14,MEAN,8.779
7.2,16,MEAN,8.622
7.2,18,MEAN,8.481
7.2,20,MEAN,8.355
7.2,22,MEAN,8.239
7.2,25,MEAN,8.082
7.2,28,MEAN,7.942
7.2,32,MEAN,7.774
7.2,35,MEAN,7.659
7.2,40,MEAN,7.486
7.2,45,MEAN,7.33
7.2,50,MEAN,7.188
7.2,56,MEAN,7.032
7.2,63,MEAN,6.866
7.2,71,MEAN,6.693
7.2,79,MEAN,6.534
7.2,89,MEAN,6.35
7.2,100,MEAN,6.165
7.2,112,MEAN,5.978
7.2,126,MEAN,5.776
7.2,141,MEAN,5.575
7.2,158,MEAN,5.362
7.2,178,MEAN,5.127
7.2,200,MEAN,4.885
7.2,224,MEAN,4.637
7.2,250,MEAN,4.382
7.3,1.00E-01,MEAN,14.441
7.3,1,MEAN,11.892
7.3,2,MEAN,11.121
7.3,3,MEAN,10.668
7.3,4,MEAN,10.345
7.3,5,MEAN,10.093
7.3,6,MEAN,9.887
7.3,7,MEAN,9.711
7.3,8,MEAN,9.559
7.3,9,MEAN,9.423
7.3,10,MEAN,9.302
7.3,11,MEAN,9.191
7.3,12,MEAN,9.09
7.3,14,MEAN,8.91
7.3,16,MEAN,8.752
7.3,18,MEAN,8.611
7.3,20,MEAN,8.485
7.3,22,MEAN,8.369
7.3,25,MEAN,8.212
7.3,28,MEAN,8.072
7.3,32,MEAN,7.904
7.3,35,MEAN,7.789
7.3,40,MEAN,7.616
7.3,45,MEAN,7.46
7.3,50,MEAN,7.318
7.3,56,MEAN,7.162
7.3,63,MEAN,6.996
7.3,71,MEAN,6.823
7.3,79,MEAN,6.664
7.3,89,MEAN,6.481
7.3,100,MEAN,6.295
7.3,112,MEAN,6.108
7.3,126,MEAN,5.906
7.3,141,MEAN,5.705
7.3,158,MEAN,5.492
7.3,178,MEAN,5.257
7.3,200,MEAN,5.015
7.3,224,MEAN,4.767
7.3,250,MEAN,4.512
