rup_mag,dist_rjb,result_type,damping,pga,0.1,0.2,0.3,0.5,1,2
7.5,27.5,MEAN,5,0.5807226,1.2719075,1.1694317,1.0383320,0.6887330,0.2626013,0.0926856
7.5,32.5,MEAN,5,0.515718,1.1295335,1.0385286,0.9242138,0.6140575,0.2341575,0.0828046
7.5,37.5,MEAN,5,0.4638004,1.0158227,0.9339792,0.8329171,0.5543383,0.2115213,0.0749947
7.5,42.5,MEAN,5,0.4211723,0.9224581,0.8481368,0.7578402,0.5052410,0.1929889,0.0686388
7.5,47.5,MEAN,5,0.385405,0.8441200,0.7761104,0.6947563,0.4639917,0.1774747,0.0633456
7.5,52.5,MEAN,5,0.3583365,0.7848343,0.7216012,0.6453597,0.4301047,0.1637870,0.0582408
7.5,57.5,MEAN,5,0.337716,0.7396708,0.6800765,0.6062009,0.4018286,0.1515792,0.0533570
7.5,62.5,MEAN,5,0.3191771,0.6990665,0.6427437,0.5712156,0.3768218,0.1409632,0.0491894
7.5,67.5,MEAN,5,0.3023767,0.6622702,0.6089121,0.5396935,0.3544995,0.1316323,0.0455891
7.5,72.5,MEAN,5,0.2870497,0.6287007,0.5780472,0.5110877,0.3344154,0.1233559,0.0424459
7.5,77.5,MEAN,5,0.2729865,0.5978993,0.5497273,0.4849690,0.3162223,0.1159569,0.0396769
7.5,82.5,MEAN,5,0.2600192,0.5694980,0.5236143,0.4609946,0.2996448,0.1092969,0.0372180
7.5,87.5,MEAN,5,0.248011,0.5431974,0.4994327,0.4388869,0.2844619,0.1032661,0.0350194
7.5,92.5,MEAN,5,0.2368491,0.5187505,0.4769555,0.4184180,0.2704932,0.0977760,0.0330412
7.5,97.5,MEAN,5,0.2264395,0.4959514,0.4559933,0.3993985,0.2575901,0.0927547,0.0312515
8,2.5,MEAN,5,1.4993025,3.0011632,3.0011632,3.0011632,3.0011632,1.2143817,0.4461779
8,7.5,MEAN,5,1.4993025,3.0011632,3.0011632,3.0011632,2.4203579,0.9590336,0.3504469
8,12.5,MEAN,5,1.4993025,3.0011632,3.0011632,2.8736801,1.9459254,0.7672939,0.2790677
8,17.5,MEAN,5,1.3226478,2.8968842,2.6634855,2.4061339,1.6317093,0.6414869,0.2328037
8,22.5,MEAN,5,1.1390563,2.4947794,2.2937777,2.0781567,1.4114839,0.5540428,0.2010061
