rup_mag,rup_rake,rup_dip,dist_rrup,dist_rjb,result_type,damping,pga,0.1,0.2,0.3,0.5,1,2
5.8,90,60,15,4,MEAN,5,0.1523151,0.29444683,0.35294396,0.28188112,0.16191602,6.28E-02,1.65E-02
5.8,90,60,15,5,MEAN,5,0.14897096,0.28798214,0.34519494,0.27569231,0.15836108,6.17E-02,1.63E-02
5.8,90,60,15,6,MEAN,5,0.14570025,0.28165936,0.33761606,0.2696394,0.1548842,6.07E-02,1.62E-02
5.8,90,60,15,7,MEAN,5,0.14250134,0.27547544,0.33020356,0.26371935,0.15148367,5.97E-02,1.60E-02
5.8,90,60,15,8,MEAN,5,0.13937266,0.26942724,0.32295379,0.25792927,0.14815776,5.87E-02,1.59E-02
5.8,90,60,15,9,MEAN,5,0.13631268,0.26351187,0.31586322,0.25226635,0.14490491,5.77E-02,1.57E-02
6.3,90,60,15,0,MEAN,5,0.27009594,0.47775969,0.61821431,0.53007746,0.34292138,0.14731163,4.31E-02
6.3,90,60,15,1,MEAN,5,0.25457036,0.45029724,0.58267826,0.49960765,0.32320967,0.14083518,4.21E-02
6.3,90,60,15,2,MEAN,5,0.2399372,0.42441335,0.54918486,0.4708893,0.30463099,0.13464347,4.10E-02
6.3,90,60,15,3,MEAN,5,0.22614518,0.40001732,0.51761675,0.44382176,0.28712025,0.12872395,4.00E-02
6.3,90,60,15,4,MEAN,5,0.21314597,0.37702361,0.48786321,0.41831011,0.27061611,0.1230647,3.89E-02
6.3,90,60,15,5,MEAN,5,0.20089395,0.35535163,0.45981997,0.39426491,0.25506061,0.11765424,3.80E-02
6.3,90,60,15,6,MEAN,5,0.18934621,0.33492538,0.43338874,0.37160188,0.24039926,0.11248165,3.70E-02
6.3,90,60,15,7,MEAN,5,0.17846227,0.31567329,0.40847677,0.35024154,0.22658071,0.10753648,3.61E-02
6.3,90,60,15,8,MEAN,5,0.16820394,0.29752785,0.3849968,0.33010903,0.21355644,0.10280871,3.52E-02
6.3,90,60,15,9,MEAN,5,0.15853527,0.2804254,0.36286649,0.31113377,0.20128083,9.83E-02,3.43E-02
