"","c1","c2","c3","alpha","beta","gamma","s_m,r","s_r1","s_r2","lambda"
"262",0.339196,1.14893,1.26126,0.0937267,0.576006,1.64805,0.549399,0.609035,0.383782,0.0929141
"263",0.26469,1.10937,1.08866,0.183323,0.807251,1.56195,0.438453,0.617128,0.421096,0.133391
"264",0.361848,1.05027,0.94118,0.136055,0.747681,1.56087,0.515843,0.622675,0.30419,0.120502
"265",0.398287,1.0325,0.943053,0.126805,0.595968,1.82434,0.475689,0.631194,0.399089,0.111769
"266",0.547438,1.19284,0.37054,0.158549,0.95062,1.35401,0.442067,0.625557,0.398073,0.115285
"267",0.279833,1.03281,0.93125,0.153855,0.571663,1.70309,0.470918,0.645083,0.296241,0.127554
"268",0.422613,1.25654,1.10411,0.1289,0.821907,1.25163,0.431056,0.626522,0.246964,0.119936
"269",0.429746,1.08961,1.22726,0.171867,0.798044,1.90225,0.632265,0.605907,0.427822,0.10735
"270",0.733189,1.26971,1.03282,0.185254,0.95898,1.57501,0.388344,0.611744,0.370045,0.126035
"271",0.577996,1.31808,0.676175,0.212123,0.814653,1.59572,0.658729,0.621981,0.365681,0.127309
"272",0.244689,1.04053,1.02864,0.136297,0.95507,1.49375,0.352903,0.623069,0.348483,0.100344
"273",0.355703,1.01959,1.18692,0.127687,0.712117,1.68465,0.732804,0.63607,0.343407,0.142812
"274",0.0906953,0.944361,1.05823,0.151372,0.891505,1.37456,0.446815,0.619256,0.432523,0.110005
"275",0.260037,1.11074,0.897523,0.159993,0.848429,1.59385,0.614945,0.602639,0.33356,0.0889235
"276",-0.120683,0.769842,1.30602,0.177619,0.836138,1.48355,0.561817,0.677684,0.269313,0.130859
"277",-0.386878,0.621125,1.35131,0.170345,0.891514,1.60069,0.892879,0.614364,0.292466,0.126044
"278",-0.226817,0.465399,1.05692,0.149051,0.784198,1.72769,0.600575,0.600618,0.368969,0.0951714
"279",-0.293289,0.4558,1.12353,0.166463,0.824501,1.72108,0.592754,0.597857,0.371849,0.095408
"280",-0.149096,0.475826,1.161,0.168918,0.790699,1.45834,0.689999,0.623178,0.407669,0.14025
"281",-0.0587507,0.619829,1.11715,0.128564,0.663882,1.6971,0.538241,0.626249,0.321781,0.119298
"282",0.0464293,0.848689,1.34866,0.195388,0.808655,1.57815,0.644739,0.614305,0.569293,0.120928
"283",-0.0827907,1.0694,1.80123,0.151271,0.857246,1.52572,0.535873,0.636598,0.279337,0.12002
"284",0.372985,1.2222,1.01741,0.163743,0.852463,1.66577,0.595159,0.585302,0.451234,0.104059
"285",0.352186,1.19946,1.0044,0.169752,0.806652,1.50297,0.48253,0.630861,0.43552,0.0966992
"286",0.572299,1.20918,0.877727,0.149417,0.856852,1.62507,0.501318,0.622722,0.42784,0.140521
"287",0.494542,1.27882,1.18926,0.135245,0.827983,1.45063,0.467486,0.591308,0.430551,0.108523
"288",0.497436,1.23892,1.11915,0.135275,0.834126,1.46489,0.444342,0.588654,0.429904,0.112558
"289",0.613164,1.19723,0.98097,0.159244,0.840438,1.63028,0.518528,0.625934,0.380797,0.109717
"290",0.484274,1.0611,1.09395,0.191063,0.821938,1.562,0.521139,0.638668,0.417168,0.145933
"291",0.645358,1.19207,0.698641,0.197154,0.902099,1.64808,0.378189,0.617677,0.355258,0.103169
"292",0.426899,1.1313,1.12891,0.146355,0.624508,1.7053,0.504333,0.603972,0.418025,0.0998532
"293",0.493297,1.23315,0.987881,0.140707,0.678285,1.54341,0.400059,0.629214,0.389186,0.12855
"294",0.418256,1.15183,1.22635,0.178826,0.812158,1.62725,0.621382,0.611208,0.414772,0.104762
"295",0.212579,1.01748,1.36303,0.189317,0.858699,1.66422,0.466542,0.60915,0.435072,0.108328
"296",0.418138,1.1091,1.63091,0.112011,0.745937,1.46766,0.540607,0.638004,0.245509,0.11248
"297",0.243222,0.818064,1.68201,0.131036,0.657606,1.6372,0.738946,0.621762,0.399394,0.116038
"298",0.343085,1.00695,1.33102,0.199032,0.889018,1.54096,0.905406,0.624389,0.404896,0.107503
"299",0.355694,1.0408,1.10327,0.165361,0.896354,1.54804,0.447987,0.633788,0.295981,0.128502
"300",0.430399,1.08297,1.10133,0.18794,0.773274,1.58983,0.506932,0.612184,0.572095,0.113522
"301",0.361763,0.929424,1.23168,0.201683,0.865517,1.65651,0.511423,0.601991,0.422058,0.110041
"302",0.412901,0.864031,1.16052,0.176865,0.867079,1.57327,0.516791,0.61452,0.478001,0.108397
"303",0.350956,0.895344,1.23451,0.17518,0.898937,1.62874,0.377353,0.594021,0.40327,0.10147
"304",0.354612,0.848961,1.01514,0.20777,0.895546,1.52912,0.575556,0.650036,0.381281,0.130138
"305",0.605336,1.02888,0.575079,0.121168,0.653057,1.56153,0.460179,0.60914,0.256711,0.105604
"306",0.465497,0.853851,0.828633,0.215118,0.945313,1.52682,0.52455,0.656782,0.394346,0.138652
"307",0.478139,0.960643,0.786109,0.119809,0.568989,1.69345,0.573996,0.605167,0.512098,0.103873
"308",0.5367,1.08032,0.656564,0.113202,0.523047,1.7109,0.462766,0.599074,0.366957,0.108238
"309",0.637761,1.19486,0.762062,0.167918,0.814071,1.4932,0.525747,0.615596,0.344153,0.131652
"310",0.722773,1.17218,0.983687,0.12204,0.666764,1.53015,0.523696,0.633078,0.352904,0.127907
"311",0.674839,1.33586,1.23786,0.158405,0.825663,1.47616,0.650076,0.631592,0.373197,0.109827
"312",0.616689,1.44039,1.39044,0.0873086,0.661522,1.53787,0.531626,0.637672,0.2922,0.117219
"313",0.551104,1.24821,0.868848,0.145832,0.639377,1.61266,0.506049,0.631064,0.343897,0.12062
"314",0.663233,1.38958,0.961729,0.209904,0.901782,1.55396,0.545281,0.652891,0.182291,0.147711
"315",0.341457,1.1467,1.02095,0.135856,0.700032,1.34944,0.456408,0.624341,0.339242,0.101695
"316",0.389892,1.13369,0.657404,0.173713,0.813323,1.7022,0.589294,0.626258,0.479878,0.128235
"317",0.519046,1.16526,0.666256,0.153625,0.937517,1.53807,0.435855,0.617265,0.307498,0.116048
"318",0.403795,0.969645,0.991119,0.104802,0.634974,1.40097,0.447971,0.631192,0.422731,0.0890751
"319",0.545568,1.15955,0.759889,0.146289,0.849789,1.54859,0.532422,0.637401,0.195094,0.136007
"320",0.712491,1.16885,0.849041,0.14118,0.771342,1.62109,0.41139,0.603195,0.443779,0.111
"321",0.723094,1.20678,0.741291,0.178951,0.719673,1.82407,0.485653,0.615118,0.397468,0.0959906
"322",0.786205,1.16108,0.604437,0.137607,0.904217,1.51923,0.616575,0.610081,0.349319,0.130821
"323",0.833406,1.26335,0.493015,0.176521,0.905324,1.51919,0.639585,0.615651,0.343053,0.141293
"324",0.645165,1.03778,0.816388,0.200242,0.758517,1.70724,0.663088,0.62456,0.401795,0.126779
"325",0.688886,1.18345,0.939954,0.185069,0.92481,1.57288,0.414331,0.648874,0.287998,0.141305
"326",0.652576,1.23814,1.08606,0.153915,0.939776,1.6548,0.410535,0.636564,0.294904,0.12557
"327",0.421458,1.25588,0.983038,0.138693,0.719816,1.63052,0.541524,0.601659,0.421266,0.104558
"328",0.252888,1.0645,1.08913,0.15286,0.770824,1.47299,0.604006,0.637398,0.366775,0.155817
"329",0.353938,0.949126,1.10787,0.202236,0.914286,1.57177,0.429281,0.600246,0.468153,0.0918777
"330",0.364188,1.09277,1.00227,0.135236,0.785145,1.52383,0.573922,0.639118,0.276994,0.10722
"331",0.500575,1.24443,0.825165,0.177251,0.77861,1.58545,0.387883,0.595211,0.507337,0.131821
"332",0.47699,1.45048,1.07074,0.190242,0.917988,1.68362,0.723324,0.63426,0.322932,0.0950482
"333",0.677488,1.5255,0.759661,0.102901,0.660349,1.34391,0.608296,0.630929,0.309109,0.161568
"334",0.458225,1.3073,0.982403,0.180396,0.873707,1.54301,0.488721,0.61882,0.351213,0.100415
"335",0.304348,1.27198,1.38317,0.168533,0.766101,1.56165,0.623307,0.620436,0.380215,0.134454
"336",0.376789,1.211,1.01588,0.163544,0.983303,1.55337,0.666935,0.617253,0.372469,0.0999694
"337",0.551304,1.35414,0.846512,0.168147,0.990972,1.35929,0.497538,0.611017,0.399457,0.157915
"338",0.7647,1.613,0.773822,0.110168,0.556973,1.84046,0.56804,0.63412,0.348397,0.101871
"339",0.769631,1.56748,1.19478,0.20535,0.789299,1.89834,0.529207,0.606661,0.490191,0.117165
"340",0.594011,1.43922,0.908329,0.139537,0.658747,1.55328,0.551927,0.602885,0.450164,0.119662
"341",0.336063,1.03082,0.763288,0.189457,0.860663,1.62466,0.388713,0.621786,0.401296,0.114204
"342",0.29718,1.01787,0.770131,0.184858,0.83173,1.58958,0.343527,0.616025,0.411754,0.121658
"343",0.483153,1.2661,0.951623,0.141275,0.786212,1.51319,0.615183,0.628715,0.295925,0.106575
"344",0.528841,1.15303,0.60256,0.145632,0.926904,1.22475,0.53655,0.640477,0.276813,0.138835
"345",0.685719,1.50608,0.60557,0.176883,0.784095,1.77294,0.516281,0.616897,0.394722,0.10912
"346",0.707183,1.49985,0.460654,0.163047,0.823242,1.73673,0.396623,0.609226,0.330769,0.0954522
"347",0.626299,1.33028,0.39612,0.1398,0.764259,1.45525,0.462134,0.630412,0.345257,0.102477
"348",0.778426,1.48166,0.230584,0.150588,0.783882,1.60249,0.485499,0.620792,0.33682,0.117513
"349",0.562019,1.16682,0.530662,0.133634,0.796472,1.47566,0.616169,0.620678,0.374637,0.129182
"350",0.581209,1.32603,0.604016,0.14749,0.842837,1.51643,0.495104,0.60403,0.37809,0.0863597
"351",0.561651,1.2205,0.956306,0.154421,0.726234,1.70105,0.504082,0.615644,0.33724,0.0760605
"352",0.574011,1.3501,1.01054,0.157094,0.730495,1.75279,0.418648,0.648757,0.377273,0.0807324
"353",0.467055,1.20409,1.04194,0.144883,0.606216,1.63432,0.392572,0.609873,0.378922,0.087911
"354",0.348249,0.990452,1.08671,0.186324,0.869337,1.4066,0.488017,0.626239,0.314517,0.128292
"355",0.43262,1.1371,1.38565,0.168475,0.893851,1.60586,0.485602,0.624657,0.397462,0.125655
"356",0.49377,1.19037,0.942173,0.159416,0.71124,1.45292,0.402293,0.596492,0.537973,0.122072
"357",0.625297,1.09742,0.845899,0.146655,0.86738,1.61671,0.498939,0.641293,0.247938,0.123925
"358",0.524884,1.04094,0.630191,0.222983,0.893221,1.43982,0.572205,0.612187,0.504061,0.140816
"359",0.463928,0.995016,0.799803,0.191867,0.899072,1.74053,0.510564,0.596624,0.381434,0.109073
"360",0.387576,0.852191,0.814705,0.140658,0.655674,1.61828,0.47545,0.626044,0.415912,0.122837
"361",0.481801,1.03391,0.426202,0.247178,0.895093,1.57408,0.623944,0.596537,0.526472,0.094437
"362",0.695163,1.26604,0.53994,0.135727,0.581107,1.52192,0.551963,0.638696,0.347795,0.131692
"363",0.520489,1.08569,0.597729,0.17992,0.899556,1.41045,0.505307,0.62004,0.287033,0.110336
"364",0.500194,1.11274,1.01841,0.098775,0.512604,1.51444,0.491522,0.640194,0.407424,0.126727
"365",0.554882,1.14028,1.07076,0.163786,0.724685,1.68405,0.586448,0.630483,0.346405,0.151194
"366",0.600613,1.21287,0.953672,0.188471,0.868711,1.75392,0.412053,0.624372,0.373016,0.12986
"367",0.384684,1.15564,1.37424,0.137596,0.664667,1.52085,0.641266,0.608145,0.476124,0.103888
"368",0.364945,1.0758,1.29078,0.0925315,0.586195,1.5934,0.461678,0.605491,0.30538,0.124727
"369",0.129174,0.88178,1.76481,0.167004,0.772345,1.70556,0.569131,0.611147,0.360941,0.125838
"370",0.134905,0.961465,1.83671,0.140578,0.632721,1.53155,0.624724,0.616411,0.520465,0.123265
"371",0.336567,1.35425,1.52296,0.161307,0.894733,1.65811,0.677936,0.605504,0.373233,0.1182
"372",0.440171,1.42153,1.58672,0.206042,0.928121,1.62401,0.495586,0.614846,0.510827,0.0992037
"373",0.589077,1.56111,1.04333,0.162362,0.819686,1.62978,0.612422,0.648792,0.235853,0.137264
"374",0.44991,1.30104,1.55723,0.136113,0.763784,1.52901,0.548404,0.573597,0.402025,0.108625
"375",0.606958,1.61685,1.00368,0.152535,0.76705,1.45473,0.635771,0.634754,0.319275,0.127686
"376",0.578309,1.43992,1.2006,0.147954,0.910213,1.55568,0.431103,0.626492,0.389924,0.12086
"377",0.629666,1.42111,1.12347,0.135642,0.733833,1.57059,0.712479,0.623804,0.420331,0.125813
"378",0.599476,1.31303,1.12142,0.206434,0.921742,1.74296,0.442533,0.595234,0.456018,0.104435
"379",0.839653,1.56993,0.942224,0.199036,0.94336,1.53804,0.616485,0.627972,0.402534,0.107732
"380",0.49324,1.18702,1.39527,0.167046,0.835098,1.72209,0.543385,0.618555,0.356202,0.130825
"381",0.468041,1.23472,1.38921,0.150163,0.867618,1.45964,0.529049,0.631983,0.342606,0.11342
"382",0.496697,1.19871,1.22376,0.155859,0.773083,1.50329,0.570397,0.619692,0.353087,0.10967
"383",0.472319,0.872519,1.41408,0.229161,0.924371,1.74883,0.484887,0.627701,0.569735,0.139378
"384",0.512418,1.19407,0.764923,0.123104,0.646492,1.29657,0.479768,0.628136,0.291106,0.095406
"385",0.491699,1.3993,0.872388,0.166245,0.802933,1.76607,0.571205,0.607106,0.546116,0.12757
"386",0.66366,1.25117,0.851074,0.164867,0.878523,1.48212,0.468103,0.628534,0.267717,0.10882
"387",0.609913,1.1438,1.01071,0.136669,0.83153,1.39056,0.462023,0.62443,0.260494,0.0995543
"388",0.500991,1.05839,1.24383,0.124956,0.669405,1.38711,0.565187,0.613132,0.41857,0.128946
"389",0.54389,1.0439,0.756934,0.111265,0.62187,1.59223,0.475465,0.64663,0.302253,0.131633
"390",0.538945,1.0527,0.834147,0.114487,0.570534,1.55342,0.463151,0.646677,0.371389,0.136693
"391",0.257066,0.793946,1.06021,0.109868,0.763563,1.29984,0.567512,0.575773,0.386903,0.104575
"392",0.517692,1.0202,0.75574,0.139236,0.673886,1.69231,0.473575,0.587494,0.504168,0.122693
"393",0.512949,1.02618,0.869292,0.156868,0.731999,1.59088,0.534245,0.606372,0.420368,0.0972555
"394",0.480807,1.01119,1.07791,0.100004,0.612021,1.43965,0.503515,0.589647,0.4512,0.106031
"395",0.670161,1.19927,1.01379,0.197442,0.812165,1.59095,0.590836,0.602591,0.376687,0.10028
"396",0.516505,0.898996,1.25567,0.11679,0.671624,1.48105,0.47926,0.634425,0.301944,0.123796
"397",0.505062,0.891353,1.24002,0.12713,0.911915,1.33453,0.513189,0.629293,0.328822,0.126708
"398",0.467502,1.12192,0.90607,0.216592,0.870711,1.6224,0.503551,0.619054,0.428878,0.104082
"399",0.194417,0.723204,1.21985,0.193761,0.85174,1.65705,0.534923,0.612856,0.434514,0.126035
"400",0.0906745,0.803224,1.37942,0.186653,0.930022,1.47256,0.44889,0.602772,0.383879,0.0931254
"401",0.334783,0.902001,1.03661,0.118628,0.514799,1.80452,0.620073,0.611289,0.367396,0.124292
"402",0.189954,0.815526,1.32047,0.113927,0.618529,1.6861,0.638088,0.593429,0.407336,0.097875
"403",0.212169,1.08903,1.4693,0.0977966,0.619568,1.54011,0.631016,0.633551,0.284881,0.113493
"404",0.391597,1.13247,1.21649,0.164801,0.827366,1.52737,0.399436,0.616997,0.397681,0.149462
"405",0.313325,1.05216,1.29645,0.176843,0.793901,1.58734,0.446638,0.624652,0.385028,0.135823
"406",0.264304,1.04368,1.44566,0.158863,0.83806,1.58174,0.470114,0.629295,0.404813,0.145474
"407",0.458787,1.31224,1.16631,0.136047,0.7579,1.52839,0.454465,0.64965,0.31726,0.11282
"408",0.464762,1.25163,1.10113,0.113953,0.603836,1.69894,0.560161,0.638188,0.327424,0.122347
"409",0.387258,1.11441,1.34756,0.14855,0.765838,1.55218,0.434573,0.602635,0.514786,0.120726
"410",0.57657,1.22879,1.44189,0.166539,0.831519,1.65622,0.453105,0.602133,0.337071,0.117948
"411",0.212367,0.864711,1.83517,0.174096,0.820258,1.65597,0.680664,0.622849,0.373579,0.12329
"412",0.298495,0.989584,1.48671,0.186315,0.863392,1.54353,0.571656,0.648248,0.361652,0.120973
"413",0.089025,0.709499,1.79728,0.170036,0.792595,1.62463,0.610983,0.620084,0.366797,0.121361
"414",0.277104,0.900897,1.47101,0.152448,0.836283,1.5644,0.546382,0.637347,0.329619,0.0989133
"415",0.235021,0.99042,1.4457,0.189768,0.874207,1.68478,0.749278,0.628322,0.355724,0.11395
"416",0.161357,0.921777,1.42121,0.158238,0.735608,1.57041,0.431373,0.623997,0.366631,0.100161
"417",0.134406,0.940388,1.72429,0.0841939,0.490699,1.70822,0.480284,0.605345,0.409574,0.110203
"418",0.0842567,0.857904,1.93678,0.106393,0.59559,1.7305,0.555435,0.614325,0.392668,0.110838
"419",0.185468,1.02373,1.82466,0.122548,0.589059,1.76237,0.455302,0.602791,0.447726,0.104789
"420",0.314376,1.13795,1.19352,0.152126,0.616307,1.57714,0.491917,0.581423,0.454132,0.084569
"421",0.398716,1.15794,0.732104,0.213868,0.907848,1.64604,0.592317,0.63645,0.387852,0.141608
"422",0.508499,1.19407,0.670103,0.1913,0.765405,1.61673,0.485986,0.62895,0.410781,0.137567
"423",0.406679,1.12081,0.628581,0.164727,0.68824,1.80592,0.395136,0.610116,0.402481,0.116365
"424",0.39563,1.13605,0.869045,0.183106,0.833084,1.4051,0.549801,0.621751,0.348954,0.0871306
"425",0.416069,1.03344,1.06174,0.165421,0.954285,1.52202,0.395925,0.636682,0.33336,0.112758
"426",0.479586,1.03772,1.03047,0.117959,0.516384,1.55591,0.52025,0.635617,0.356269,0.13225
"427",0.350694,1.10079,1.21516,0.197217,0.961596,1.61786,0.415931,0.60386,0.490461,0.0887451
"428",0.424946,1.17933,1.16354,0.203529,0.857313,1.90934,0.406847,0.612279,0.409041,0.104707
"429",0.501095,1.26142,1.03752,0.182324,0.737455,1.66813,0.505273,0.601104,0.506174,0.11355
"430",0.853301,1.47548,1.0848,0.108226,0.675957,1.45646,0.546175,0.617066,0.334234,0.113777
"431",0.728745,1.36402,1.2362,0.133313,0.681615,1.61148,0.512069,0.619942,0.381991,0.0956115
"432",0.639158,1.19766,1.2074,0.16149,0.852167,1.41782,0.659518,0.632797,0.367701,0.149122
"433",0.652755,1.43437,0.868956,0.105966,0.578599,1.66069,0.551996,0.616771,0.388113,0.0903462
"434",0.617291,1.45907,0.908642,0.227292,0.916679,1.60659,0.522767,0.618598,0.483774,0.142787
"435",0.684177,1.45045,0.801601,0.149976,0.73849,1.67661,0.472259,0.624776,0.380029,0.111349
"436",0.689204,1.46059,0.724956,0.177199,0.810902,1.67481,0.51056,0.605548,0.38042,0.0979836
"437",0.694532,1.48548,0.763549,0.188526,0.827226,1.64719,0.456779,0.616423,0.360369,0.100176
"438",0.389456,0.957663,1.06182,0.150464,0.678525,1.50243,0.52955,0.626022,0.353646,0.127069
"439",0.486089,1.03572,1.1142,0.121502,0.87755,1.36861,0.355196,0.605021,0.333703,0.0831627
"440",0.427187,0.916667,1.62695,0.139791,0.721414,1.4836,0.477396,0.623385,0.454533,0.0990813
"441",0.46137,0.913579,1.60945,0.158283,0.856048,1.48429,0.542816,0.598285,0.42167,0.111877
"442",0.716758,1.21919,1.07287,0.111521,0.56334,1.53011,0.693069,0.62833,0.37498,0.126785
"443",0.683021,1.1741,1.49051,0.135242,0.720258,1.63721,0.55177,0.626046,0.351264,0.107778
"444",0.636781,1.17673,1.45009,0.141022,0.702127,1.7012,0.525677,0.62817,0.399577,0.107546
"445",0.719549,1.2372,1.37169,0.139561,0.745263,1.62746,0.555744,0.618574,0.361973,0.125262
"446",0.669223,1.22168,1.13269,0.167593,0.731889,1.65978,0.576183,0.631355,0.435931,0.150344
"447",0.594954,1.32899,0.721805,0.178372,0.783346,1.73737,0.432413,0.600635,0.448242,0.102714
"448",0.465731,1.29596,0.908021,0.19376,0.787013,1.69082,0.391539,0.588941,0.534069,0.0942618
"449",0.433236,1.0486,0.898873,0.107126,0.6687,1.5484,0.46557,0.617093,0.374904,0.127702
"450",0.482776,1.0278,0.721935,0.185355,0.934969,1.65342,0.538533,0.598691,0.392999,0.0962877
"451",0.316777,0.946676,0.812827,0.233234,0.827962,1.82314,0.377696,0.612052,0.492425,0.118655
"452",0.272437,1.08104,1.08387,0.162303,0.873568,1.48357,0.561501,0.616489,0.321858,0.092775
"453",0.104961,0.737054,1.24937,0.130246,0.60422,1.66755,0.436469,0.621768,0.425611,0.13151
"454",0.197846,0.887399,1.03742,0.142703,0.755852,1.69946,0.610627,0.60686,0.422164,0.101662
"455",0.370996,1.10422,1.19348,0.0849647,0.653729,1.33836,0.525981,0.624809,0.28993,0.132245
"456",0.368168,1.03513,1.09338,0.121066,0.707813,1.55523,0.456121,0.634002,0.304249,0.124901
"457",0.208021,1.03757,1.43907,0.208915,0.898171,1.65411,0.536949,0.656384,0.273655,0.0955624
"458",0.238824,0.972884,1.22271,0.155831,0.917018,1.52969,0.577317,0.621464,0.351682,0.100621
"459",0.281901,0.984779,1.09772,0.157109,0.769521,1.4685,0.481963,0.614558,0.348855,0.120955
"460",0.21835,0.939142,1.2997,0.211396,0.900132,1.8064,0.508943,0.614469,0.485341,0.111071
"461",0.312732,0.93002,1.0621,0.220995,0.963592,1.59796,0.48979,0.598759,0.440883,0.113766
"462",0.215433,0.972562,0.953186,0.18379,0.928033,1.5823,0.417079,0.611167,0.454563,0.0841158
"463",0.403677,1.15586,0.86548,0.142643,0.744269,1.76031,0.512465,0.626487,0.333944,0.0890534
"464",0.356365,1.0588,0.734818,0.146349,0.803526,1.53588,0.552105,0.61692,0.327214,0.1164
"465",0.396305,1.02727,0.740541,0.168224,0.900548,1.44248,0.485154,0.635643,0.419809,0.136971
"466",0.252806,0.928242,0.999739,0.153129,0.916268,1.37061,0.514405,0.623186,0.255304,0.138732
"467",0.348248,1.16171,1.27203,0.228844,0.78677,1.77631,0.466819,0.637584,0.42573,0.1143
"468",0.426233,1.25657,1.28827,0.21717,0.849949,1.69981,0.43767,0.6245,0.401098,0.113546
"469",0.402697,1.269,1.10238,0.101645,0.761784,1.42745,0.580543,0.622952,0.319423,0.113985
"470",0.344116,1.23795,1.02513,0.13318,0.662238,1.35414,0.459864,0.608767,0.34418,0.114925
"471",0.315402,0.977437,1.00433,0.190631,0.869476,1.68414,0.49793,0.622031,0.412127,0.118212
"472",0.476277,0.990106,0.986282,0.13359,0.725296,1.6326,0.417575,0.5975,0.396157,0.0817105
"473",0.631104,1.11679,0.932026,0.146883,0.766081,1.63768,0.481079,0.607522,0.437843,0.0991292
"474",0.697298,1.09748,0.655765,0.22363,0.97974,1.84838,0.59048,0.620342,0.489227,0.131718
"475",0.865524,1.57171,0.821583,0.134392,0.779989,1.60315,0.496047,0.634045,0.405614,0.108157
"476",0.516965,1.3307,0.843046,0.212671,0.958026,1.6637,0.542365,0.613569,0.40229,0.120353
"477",0.29473,0.86634,0.776666,0.0652605,0.500216,1.47116,0.471214,0.623361,0.309668,0.130055
"478",0.354132,1.14045,1.06046,0.185193,0.900734,1.60259,0.554948,0.625266,0.30453,0.0967274
"479",0.39155,1.05727,0.898703,0.125471,0.708605,1.35826,0.573642,0.633087,0.319017,0.139084
"480",0.158594,0.882111,1.46669,0.132533,0.546995,1.72913,0.561889,0.617668,0.466779,0.083827
"481",-0.109862,0.799121,1.45501,0.130618,0.677973,1.63617,0.517844,0.606002,0.372082,0.0999779
"482",0.179991,0.851366,1.15282,0.18856,0.925981,1.61571,0.565906,0.630776,0.307084,0.137593
"483",0.514246,0.982733,0.772394,0.133816,0.675798,1.57712,0.487017,0.595252,0.37389,0.104797
"484",0.546715,0.990912,0.749671,0.167816,0.885025,1.62947,0.45066,0.621597,0.463361,0.103306
"485",0.659992,1.21071,0.770511,0.159844,0.845696,1.42298,0.354862,0.597754,0.350383,0.123576
"486",0.605124,0.964965,0.643156,0.202352,0.814126,1.81267,0.743148,0.647376,0.291859,0.123224
"487",0.77193,1.10718,0.351583,0.171721,0.863995,1.37273,0.512443,0.590946,0.379537,0.130485
"488",0.621356,1.07501,0.88136,0.26996,0.948428,1.8349,0.532998,0.650986,0.21042,0.121496
"489",0.566311,1.05905,1.03946,0.235017,0.907694,1.79512,0.548071,0.669456,0.268855,0.104935
"490",0.505251,0.958888,1.17949,0.198551,0.847521,1.60164,0.616455,0.662778,0.33245,0.110516
"491",0.393786,1.01868,1.07342,0.193803,0.937153,1.56499,0.418065,0.603057,0.350488,0.118689
"492",0.391082,1.15116,0.875241,0.143736,0.836857,1.39893,0.525362,0.616414,0.374675,0.11343
"493",0.41203,1.1385,0.904224,0.156934,0.859053,1.41117,0.40859,0.635627,0.297138,0.11149
"494",0.44487,1.10722,1.04687,0.155508,0.705745,1.70281,0.572211,0.595133,0.468811,0.121605
"495",0.551832,1.12449,1.01168,0.14192,0.771432,1.58499,0.531691,0.59577,0.36051,0.108987
"496",0.408989,0.994419,0.978633,0.166541,0.594956,1.75441,0.519173,0.64369,0.424594,0.120081
"497",0.484865,0.909664,0.701756,0.144561,0.988005,1.33254,0.574401,0.607959,0.326373,0.113296
"498",0.414449,0.946014,0.932984,0.197289,0.848796,1.58106,0.609485,0.615489,0.372274,0.144037
"499",0.425027,0.84966,0.79917,0.165274,0.890567,1.45825,0.627167,0.632727,0.330499,0.106211
"500",0.396709,0.767793,0.904764,0.15125,0.831685,1.4477,0.590803,0.610046,0.421746,0.109152
"501",0.753955,1.49417,0.541477,0.127495,0.719878,1.56389,0.590192,0.613046,0.390065,0.125733
"502",0.738909,1.37252,0.415759,0.129183,0.795067,1.33383,0.512345,0.635963,0.312614,0.12871
"503",0.677123,1.69061,1.11286,0.169334,0.73512,1.73655,0.612091,0.632308,0.326499,0.120921
"504",0.887004,1.81164,0.56644,0.165931,0.886394,1.41109,0.797855,0.613712,0.393477,0.110145
"505",1.03301,2.0132,0.410263,0.183561,0.846257,1.46806,0.798807,0.619808,0.408665,0.115892
"506",0.966735,1.76325,0.462175,0.163671,0.763594,1.71882,0.628167,0.610872,0.461115,0.120443
"507",0.827965,1.64872,0.60541,0.129103,0.632593,1.51676,0.552976,0.621777,0.428719,0.1037
"508",0.868677,1.53598,1.059,0.159525,0.806135,1.72071,0.628774,0.611236,0.392317,0.144095
"509",0.176738,0.956106,1.70658,0.162161,0.876923,1.32846,0.470454,0.636111,0.275458,0.108196
"510",0.362051,1.00676,0.948019,0.205754,0.97056,1.68253,0.621701,0.604749,0.458732,0.119669
"511",0.40945,1.07857,0.721357,0.145797,0.591048,1.48599,0.386289,0.636077,0.366185,0.116017
"512",0.500339,1.25508,1.0881,0.150625,0.76241,1.4769,0.57849,0.607419,0.463637,0.100859
"513",0.460896,0.962752,1.01559,0.148215,0.910784,1.66113,0.46564,0.612577,0.396808,0.124495
"514",0.462967,1.08942,1.01722,0.167059,0.818004,1.65953,0.475468,0.61214,0.359606,0.123847
"515",0.43262,1.14739,0.929166,0.127962,0.622755,1.36824,0.34473,0.622966,0.453312,0.12394
"516",0.360386,0.942158,1.32868,0.20527,0.925395,1.85391,0.514798,0.596891,0.475109,0.115657
"517",0.518105,1.08103,1.16908,0.228865,0.948089,1.67721,0.494413,0.612872,0.413371,0.0976933
"518",0.668826,1.03992,0.894234,0.233793,0.932088,1.78063,0.402838,0.649798,0.33857,0.137608
"519",0.550897,1.09371,0.728899,0.141601,0.876446,1.45148,0.594709,0.608651,0.347902,0.0977978
"520",0.673897,1.25991,0.584885,0.142061,0.909068,1.42985,0.635875,0.603997,0.330014,0.11255
"521",0.472312,0.959839,1.25197,0.162408,0.705546,1.76201,0.610334,0.63128,0.306218,0.152226
"522",0.383961,0.888426,1.265,0.177547,0.848475,1.47694,0.477385,0.619373,0.373552,0.0840501
"523",0.584915,0.979843,0.859198,0.194378,0.974655,1.75451,0.465274,0.611075,0.346028,0.102654
