ZTOR,Delta sigma,kappa,Geometric spreading,Q,Branch,Damping (%),Period,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10
2,2,1,1,3,111,5,0.01,6.74780158,0.47317482,-0.11216837,-2.27115586,-0.00540497,0.00057929,6.18408342,0.24163356,0.48653604,-0.1580398
2,2,1,2,1,112,5,0.01,12.9767676,0.32789626,-0.14908146,-3.57156153,-0.00716838,0.00094239,13.42720365,0.15965847,1.36440961,-0.1790821
2,2,1,2,2,113,5,0.01,10.48301467,0.36501322,-0.136498,-3.02365861,-0.00661599,0.00082326,10.74826744,0.18007313,1.08638717,-0.26896554
2,2,1,2,3,114,5,0.01,6.94110924,0.47206235,-0.11259673,-2.31931571,-0.00543399,0.00057707,6.4818504,0.23565923,0.73690458,-0.33917954
2,2,1,3,1,115,5,0.01,12.08196355,0.33903511,-0.14710541,-3.37244294,-0.0071589,0.000944,12.15352004,0.17095662,2.00146146,-1.02157419
2,2,1,3,2,116,5,0.01,9.67299979,0.37818499,-0.13425004,-2.8461267,-0.00659737,0.00082444,9.48497157,0.1947341,1.72914526,-1.09992647
2,2,1,3,3,117,5,0.01,6.3097536,0.49010473,-0.10975166,-2.19035062,-0.00539667,0.00057673,5.46799832,0.25733115,1.40415259,-1.15267724
2,2,2,1,1,118,5,0.01,11.45462258,0.25954604,-0.17256792,-3.15093166,-0.00697359,0.00086997,12.84330239,0.16794453,1.02758311,-0.05876022
2,2,2,1,2,119,5,0.01,8.98629632,0.29175866,-0.16159347,-2.61404054,-0.0064502,0.00075375,9.41245575,0.19845055,0.75990895,-0.12005519
2,2,2,1,3,120,5,0.01,6.05249992,0.38852159,-0.14114991,-2.05699993,-0.00524937,0.00051549,5.28222019,0.26483108,0.47122585,-0.09000319
2,2,2,2,1,121,5,0.01,11.47523413,0.25961947,-0.17251311,-3.16096936,-0.00702304,0.00087035,12.76297026,0.16796791,1.25188456,-0.24792788
2,2,2,2,2,122,5,0.01,9.13906054,0.29173463,-0.16175956,-2.65433938,-0.00648425,0.00075234,9.61214538,0.19559434,1.00313761,-0.30146641
2,2,2,2,3,123,5,0.01,6.22826996,0.38710904,-0.14160584,-2.1005234,-0.00528007,0.00051346,5.55445052,0.25821869,0.71840444,-0.27214991
2,2,2,3,1,124,5,0.01,10.53911332,0.27144182,-0.1703575,-2.9533267,-0.00701823,0.00087256,11.26643985,0.1823097,1.88263503,-1.09176985
2,2,2,3,2,125,5,0.01,8.35109487,0.3063034,-0.1592968,-2.48399103,-0.00646365,0.00075345,8.27681834,0.21365312,1.64859849,-1.12900929
2,2,2,3,3,126,5,0.01,5.67826931,0.40573942,-0.13876672,-1.99179867,-0.00523487,0.00051223,4.68868721,0.28060739,1.4003961,-1.08209278
2,2,3,1,1,127,5,0.01,10.53892057,0.21120777,-0.19046259,-2.89370445,-0.00680859,0.00081769,11.39726345,0.18198203,0.93029169,-0.07040823
2,2,3,1,2,128,5,0.01,8.48003106,0.24124051,-0.18070284,-2.45077807,-0.00624639,0.00070291,8.39590084,0.21321901,0.70363796,-0.09443947
2,2,3,1,3,129,5,0.01,6.04338445,0.32726151,-0.16279516,-1.9990168,-0.00502102,0.00047653,4.93512462,0.27546994,0.46192533,-0.03897081
2,2,3,2,1,130,5,0.01,10.6184931,0.21132057,-0.1904837,-2.91731078,-0.00685146,0.00081736,11.43594848,0.18098971,1.16259754,-0.25572273
2,2,3,2,2,131,5,0.01,8.64731696,0.2409519,-0.18093594,-2.49405651,-0.00627886,0.00070128,8.63533819,0.20947383,0.94919623,-0.27546397
2,2,3,2,3,132,5,0.01,6.21054419,0.32574088,-0.16325538,-2.04032607,-0.00505267,0.00047461,5.18901876,0.26875267,0.70749467,-0.2215168
2,2,3,3,1,133,5,0.01,9.70931311,0.22437653,-0.18813345,-2.71737223,-0.00684404,0.00081956,9.92199221,0.19771175,1.79471966,-1.09488334
2,2,3,3,2,134,5,0.01,7.89979078,0.25667863,-0.17832746,-2.33482663,-0.00625408,0.00070205,7.35752649,0.22927678,1.60040581,-1.09911604
2,2,3,3,3,135,5,0.01,5.69322157,0.34453868,-0.16043516,-1.93963172,-0.00500406,0.00047298,4.39782103,0.2909763,1.39552616,-1.03022464
2,3,1,1,1,136,5,0.01,14.39433948,0.34036095,-0.15385609,-3.81435201,-0.00737629,0.00098256,14.91940928,0.15111386,1.28295695,0.04970095
2,3,1,1,2,137,5,0.01,11.35923429,0.36900384,-0.14098468,-3.13146679,-0.00690019,0.00087043,11.54712473,0.17358159,0.93805496,-0.07915169
2,3,1,1,3,138,5,0.01,7.39944671,0.47072098,-0.11628592,-2.32334782,-0.00571255,0.00062033,6.6435365,0.23235405,0.5279056,-0.16704572
2,3,1,2,1,139,5,0.01,14.31055352,0.340086,-0.15371855,-3.80014215,-0.0074375,0.00098414,14.67190069,0.15218226,1.49423012,-0.14732366
2,3,1,2,2,140,5,0.01,11.45854968,0.36923419,-0.14102708,-3.15976254,-0.00694027,0.00086975,11.6183241,0.1724344,1.17315301,-0.26314839
2,3,1,2,3,141,5,0.01,7.59298595,0.46984757,-0.11667499,-2.3719371,-0.00574153,0.00061812,6.94167098,0.22682295,0.77837248,-0.34793682
2,3,1,3,1,142,5,0.01,13.38284194,0.35053772,-0.15184102,-3.59303559,-0.00743163,0.00098583,13.39801294,0.16236563,2.13036983,-0.99487161
2,3,1,3,2,143,5,0.01,10.61657767,0.38166583,-0.13887263,-2.97399057,-0.00692505,0.00087114,10.3246571,0.18609026,1.81293823,-1.09792879
2,3,1,3,3,144,5,0.01,6.94085145,0.48725488,-0.11390607,-2.23707463,-0.00570642,0.00061799,5.87709226,0.24778264,1.44190644,-1.16295882
2,3,2,1,1,145,5,0.01,12.50636436,0.26000891,-0.18036482,-3.29470742,-0.00721421,0.00090313,13.70338205,0.1621377,1.11094435,-0.04841626
2,3,2,1,2,146,5,0.01,9.73701062,0.28457107,-0.1695316,-2.67787249,-0.00673183,0.00079044,9.83022155,0.193731,0.80294992,-0.12956537
2,3,2,1,3,147,5,0.01,6.64549487,0.37512727,-0.14913222,-2.07488303,-0.0054976,0.00054574,5.43407293,0.26033416,0.48714549,-0.10146454
2,3,2,2,1,148,5,0.01,12.47198832,0.25993624,-0.18025638,-3.29201194,-0.00726998,0.00090418,13.52064233,0.16285659,1.32822612,-0.24155875
2,3,2,2,2,149,5,0.01,9.88126796,0.28461843,-0.16967122,-2.7163014,-0.00676693,0.00078916,10.00875975,0.19121796,1.04482828,-0.31130681
2,3,2,2,3,150,5,0.01,6.82260201,0.37379309,-0.14957731,-2.11885395,-0.00552816,0.0005437,5.71016865,0.25384985,0.73462793,-0.28351511
2,3,2,3,1,151,5,0.01,11.48652762,0.27124024,-0.17813937,-3.07261138,-0.00727044,0.00090676,11.97080058,0.17669837,1.95434898,-1.09045941
2,3,2,3,2,152,5,0.01,9.06570065,0.29882937,-0.1672355,-2.53907822,-0.00674914,0.00079053,8.63004801,0.20895603,1.68661638,-1.14113641
2,3,2,3,3,153,5,0.01,6.26642015,0.39221672,-0.14676491,-2.0083095,-0.00548353,0.00054252,4.82523713,0.2759836,1.41531139,-1.09378842
2,3,3,1,1,154,5,0.01,11.31984723,0.2080862,-0.19975492,-2.96923336,-0.00703004,0.00084511,11.78350875,0.17901451,0.9754282,-0.07745865
2,3,3,1,2,155,5,0.01,9.10010079,0.23145375,-0.19025719,-2.47912876,-0.00649158,0.00073254,8.51817513,0.21147749,0.72302657,-0.10931337
2,3,3,1,3,156,5,0.01,6.6129764,0.31105901,-0.17268263,-2.00558048,-0.00522748,0.00050021,4.96506205,0.27371587,0.46833867,-0.05091666
2,3,3,2,1,157,5,0.01,11.37979858,0.20818886,-0.19974762,-2.98832935,-0.0070752,0.00084504,11.78202273,0.17838682,1.20504143,-0.26402864
2,3,3,2,2,158,5,0.01,9.26805551,0.23118338,-0.19048707,-2.52259136,-0.00652401,0.00073091,8.75691576,0.20779963,0.9686741,-0.29027085
2,3,3,2,3,159,5,0.01,6.78038667,0.30956164,-0.17314008,-2.04699152,-0.00525906,0.00049828,5.2199881,0.26703465,0.71400296,-0.23346094
2,3,3,3,1,160,5,0.01,10.42525895,0.22101975,-0.19738081,-2.77773306,-0.0070726,0.00084769,10.20292343,0.19520239,1.83154078,-1.10670441
2,3,3,3,2,161,5,0.01,8.50272866,0.24687857,-0.18786241,-2.3591688,-0.00650101,0.00073187,7.44985643,0.22770338,1.6171588,-1.11491027
2,3,3,3,3,162,5,0.01,6.26424371,0.32827173,-0.17033667,-1.94640709,-0.0052103,0.00049663,4.42877656,0.28907435,1.40205367,-1.04209584
1,1,1,1,1,1,5,0.025,7.31287102,0.26577127,-0.13107506,-2.31995385,-0.00661365,0.00095129,3.19099439,0.30621522,-0.04632774,-0.09386575
1,1,1,1,2,2,5,0.025,5.77009953,0.33887967,-0.11572763,-2.0277716,-0.00584542,0.00082321,2.15972772,0.3546328,-0.16798786,-0.22590859
1,1,1,1,3,3,5,0.025,3.62760445,0.49070756,-0.08909382,-1.70121066,-0.00471883,0.00057347,1.06874935,0.45117312,-0.13749633,-0.40012425
1,1,1,2,1,4,5,0.025,7.49825085,0.26284141,-0.1318089,-2.36344011,-0.00664113,0.00094888,3.4041319,0.29798203,0.20341912,-0.27917122
1,1,1,2,2,5,5,0.025,5.91360581,0.33545432,-0.11647452,-2.06023752,-0.00587759,0.00082138,2.30742309,0.3458232,0.07211692,-0.4116717
