Weighting Option,Branch,Damping (%),Period,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10
original,3,5,0.3,6.7225705000E+00,-5.9930520000E-02,-2.4184893000E-01,-1.2619164900E+00,-6.4351500000E-03,4.5216000000E-04,5.9709987000E-01,4.9917889000E-01,2.4290615000E-01,-1.8105129000E-01
original,4,5,0.3,7.3967921500E+00,-1.0603122000E-01,-2.5129830000E-01,-1.3141247700E+00,-5.7377400000E-03,3.8303000000E-04,6.6863815000E-01,4.8561217000E-01,6.3526184000E-01,-5.7686817000E-01
original,5,5,0.3,7.4043470800E+00,-3.6129750000E-02,-2.5270592000E-01,-1.3513004200E+00,-3.8204900000E-03,1.4496000000E-04,4.7984380000E-01,5.4027461000E-01,7.0598864000E-01,-5.8712198000E-01
original,1,5,0.4,6.7980543700E+00,-2.0701430000E-01,-2.4778169000E-01,-1.3466183400E+00,-7.2648900000E-03,5.5111000000E-04,5.1193592800E+00,1.9948937000E-01,1.5238914000E-01,1.8215748000E-01
original,2,5,0.4,7.7250657600E+00,-2.2255924000E-01,-2.8324118000E-01,-1.2863317100E+00,-5.8574600000E-03,3.2077000000E-04,3.6420142600E+00,2.4103607000E-01,8.5602150000E-02,1.4203224000E-01
original,3,5,0.4,6.9185373100E+00,-1.2141486000E-01,-2.7138782000E-01,-1.2210443800E+00,-6.1889100000E-03,3.4030000000E-04,-4.9728784000E-01,5.2150524000E-01,3.6451662000E-01,-1.0607871000E-01
original,4,5,0.4,7.6675882800E+00,-1.7625084000E-01,-2.8194526000E-01,-1.2869198200E+00,-5.4930900000E-03,2.9125000000E-04,6.0047129000E-01,4.9766990000E-01,8.2841172000E-01,-6.0803249000E-01
original,5,5,0.4,7.6708113200E+00,-1.1236057000E-01,-2.8478266000E-01,-1.3117952200E+00,-3.7788100000E-03,1.0027000000E-04,4.4250741000E-01,5.4481324000E-01,8.6085481000E-01,-6.3182750000E-01
original,1,5,0.5,7.3047581400E+00,-2.7131000000E-01,-2.7183205000E-01,-1.3800580900E+00,-6.9574900000E-03,4.7779000000E-04,6.1347305900E+00,1.7653943000E-01,2.8864384000E-01,2.1059805000E-01
original,2,5,0.5,8.0514569300E+00,-2.6836580000E-01,-3.0678973000E-01,-1.3052694900E+00,-5.5548600000E-03,2.4928000000E-04,4.3818497000E+00,2.1632149000E-01,2.0327732000E-01,1.7307657000E-01
