lon,lat,unit,susc_cat,gwd,vs30,cti
-76.51290429999997,3.483015809,Q5,h,0.2,270.0,6.1397076
-76.49167016,3.493657718,Q5,h,0.2,270.0,7.813677
-76.49799178,3.491910304,Q5,h,0.2,270.0,6.8328457
-76.49147624,3.49236796,Q5,h,0.2,270.0,7.813677
-76.48852894,3.4945875180000003,Q5,h,0.2,270.0,6.427376
-76.49172408,3.492115029,Q5,h,0.2,270.0,7.813677
-76.50478274,3.494312191,Q5,h,0.2,270.0,6.1396933
-76.5088422,3.4882229380000003,Q5,h,0.2,270.0,7.525997
-76.48499418,3.493235189,Q5,h,0.2,210.0,16.471933
-76.50193748,3.493171889,Q5,h,0.2,270.0,6.8328457
-76.49390134,3.500792807,Q5,h,0.2,210.0,6.832836
-76.48616102,3.495214272,Q5,h,0.2,210.0,6.427376
-76.49203118,3.495421829,Q5,h,0.2,270.0,17.51185
-76.49057264,3.496290822,Q5,h,0.2,210.0,17.51185
-76.48993444,3.493946928,Q5,h,0.2,270.0,17.51185
-76.49524828,3.496522045,Q5,h,0.2,210.0,6.1396933
-76.49425670000002,3.5003414310000003,Q5,h,0.2,210.0,6.832836
-76.49783321,3.490146475,Q5,h,0.2,270.0,5.734233
-76.49854138,3.49219277,Q5,h,0.2,270.0,6.8328457
-76.49135394,3.494437842,Q5,h,0.2,270.0,17.51185
-76.49576155,3.489964527,Q5,h,0.2,270.0,5.734233
-76.49290818,3.496008397,Q5,h,0.2,210.0,17.51185
-76.49369915,3.499310379,Q5,h,0.2,210.0,8.219129
-76.50276673,3.491237072,Q5,h,0.2,270.0,5.734233
-76.50116892,3.496012322,Q5,h,0.2,270.0,6.832841
-76.49664431,3.494128092,Q5,h,0.2,270.0,6.1396933
-76.50942821,3.485290915,Q5,h,0.2,270.0,12.513053
-76.49670347,3.494023798,Q5,h,0.2,270.0,6.1396933
-76.49509964,3.496783245,Q5,h,0.2,210.0,6.1396933
-76.49447271,3.50000763,Q5,h,0.2,210.0,6.832836
-76.49254309999998,3.494500523,Q5,h,0.2,270.0,17.51185
-76.49493881,3.497073463,Q5,h,0.2,210.0,6.1396933
-76.49728059,3.491910593,Q5,h,0.2,270.0,5.734233
-76.49947426,3.491784842,Q5,h,0.2,270.0,6.8328457
-76.49505529,3.489593635,Q5,h,0.2,270.0,5.734233
-76.48500663,3.493342832,Q5,h,0.2,210.0,16.471933
-76.49308522,3.498245497,Q5,h,0.2,210.0,8.219129
-76.48576697,3.493374863,Q5,h,0.2,210.0,17.57059
-76.49626168,3.493565681,Q5,h,0.2,270.0,5.734233
-76.50275090000002,3.493131354,Q5,h,0.2,270.0,5.734233
-76.50043582,3.490171627,Q5,h,0.2,270.0,6.8328457
-76.49859454,3.491240695,Q5,h,0.2,270.0,6.8328457
-76.50537422,3.49105334,Q5,h,0.2,270.0,5.734233
-76.49428268,3.496123041,Q5,h,0.2,210.0,6.1396933
-76.4960362,3.489204232,Q5,h,0.2,270.0,6.139703
-76.49575787,3.489505052,Q5,h,0.2,270.0,6.139703
-76.49264373,3.499035286,Q5,h,0.2,210.0,8.219129
-76.50113714,3.492969315,Q5,h,0.2,270.0,6.8328457
-76.49554179,3.488220862,Q5,h,0.2,270.0,6.139703
-76.50980078,3.487114612,Q5,h,0.2,270.0,7.525997
-76.48978737,3.493974393,Q5,h,0.2,270.0,17.51185
-76.48837242,3.4930843510000003,Q5,h,0.2,270.0,17.57059
-76.49541549,3.494076497,Q5,h,0.2,270.0,6.1396933
-76.49520528,3.490690567,Q5,h,0.2,270.0,5.734233
-76.508679,3.4858882060000003,Q5,h,0.2,270.0,7.525997
-76.49492624,3.499035058,Q5,h,0.2,210.0,6.832836
-76.48972492,3.495346549,Q5,h,0.2,270.0,17.51185
-76.49357468,3.497576802,Q5,h,0.2,210.0,17.51185
-76.49623485,3.4961083160000004,Q5,h,0.2,270.0,6.1396933
-76.48749596,3.495972035,Q5,h,0.2,210.0,6.427376
-76.48919261,3.493103597,Q5,h,0.2,270.0,17.57059
-76.48995275,3.495133006,Q5,h,0.2,270.0,17.51185
-76.48659472,3.4928394430000003,Q5,h,0.2,210.0,17.57059
-76.49365018,3.499347522,Q5,h,0.2,210.0,8.219129
-76.48816119,3.495645868,Q5,h,0.2,270.0,6.427376
-76.49446401,3.490614162,Q5,h,0.2,270.0,5.734233
-76.49129916,3.494544267,Q5,h,0.2,270.0,17.51185
-76.47760144,3.472950268,Q3,vh,0.2,210.0,6.139717
-76.47197051,3.4317399980000003,Q5,h,0.2,210.0,13.157315
-76.47380603,3.425644328,Q5,h,0.2,210.0,12.43876
-76.47460222,3.430974764,Q5,h,0.2,210.0,13.144692
-76.47546984,3.427323582,Q5,h,0.2,210.0,13.144692
-76.47479534,3.426648779,Q5,h,0.2,210.0,12.43876
-76.47481811,3.414675993,Q5,h,0.2,210.0,12.414573
-76.47213548,3.418150469,Q5,h,0.2,210.0,6.4274597
-76.46923357,3.43559844,Q5,h,0.2,210.0,13.162677
-76.47024364,3.428666698,Q5,h,0.2,270.0,6.8329105
-76.47226983,3.4283610330000003,Q5,h,0.2,210.0,6.8329105
-76.46933243,3.42603516,Q5,h,0.2,270.0,7.931529
-76.46699484,3.431197902,Q5,h,0.2,210.0,7.5849514
-76.47027795,3.432677429,Q5,h,0.2,210.0,13.157315
-76.4680225,3.425791386,Q5,h,0.2,270.0,6.832918
-76.47216645,3.4284774610000004,Q5,h,0.2,210.0,6.8329105
-76.47294812,3.423074509,Q5,h,0.2,210.0,12.43876
-76.47306932,3.413915479,Q5,h,0.2,210.0,13.043162
-76.46480938,3.427268949,Q5,h,0.2,270.0,7.5849514
-76.46637495,3.431166295,Q5,h,0.2,210.0,7.5849514
-76.46799482,3.422211143,Q5,h,0.2,270.0,6.83292
-76.47310238,3.4309385110000004,Q5,h,0.2,210.0,13.144692
-76.46995305,3.42915536,Q5,h,0.2,270.0,6.8329105
-76.47011916,3.418253244,Q5,h,0.2,210.0,6.4274597
-76.4706639,3.437304813,Q5,h,0.2,210.0,13.162677
-76.47030364,3.422805867,Q5,h,0.2,270.0,13.117091
-76.47360779,3.42566438,Q5,h,0.2,210.0,12.43876
-76.46568571,3.430244533,Q5,h,0.2,210.0,7.5849514
-76.46811517,3.424385212,Q5,h,0.2,270.0,6.832918
-76.47049445,3.429002948,Q5,h,0.2,270.0,6.8329105
-76.47257267,3.418843341,Q5,h,0.2,210.0,13.117091
-76.47325249,3.4260997260000003,Q5,h,0.2,210.0,12.43876
-76.47081225,3.4278925260000004,Q5,h,0.2,270.0,6.8329105
-76.47497714,3.426885318,Q5,h,0.2,210.0,12.43876
-76.47268457,3.431972434,Q5,h,0.2,210.0,13.157315
-76.47428808,3.415701809,Q5,h,0.2,210.0,12.414573
-76.46969922,3.4373030310000003,Q5,h,0.2,210.0,13.162677
-76.46760268,3.435409948,Q5,h,0.2,210.0,8.624667
-76.47226629,3.431440382,Q5,h,0.2,210.0,13.157315
-76.47259538,3.41736942,Q5,h,0.2,210.0,6.4274597
-76.46710506,3.431572659,Q5,h,0.2,210.0,8.624667
-76.46892754,3.431940192,Q5,h,0.2,210.0,13.157315
-76.47364638,3.425373758,Q5,h,0.2,210.0,12.43876
-76.46647157,3.429507203,Q5,h,0.2,210.0,7.5849514
-76.4692676,3.425393485,Q5,h,0.2,270.0,7.931529
-76.46988115,3.437393518,Q5,h,0.2,210.0,13.162677
-76.47378697,3.425555952,Q5,h,0.2,210.0,12.43876
-76.46909721,3.431470228,Q5,h,0.2,210.0,13.157315
-76.47157646,3.415677768,Q5,h,0.2,210.0,6.4274597
-76.47301668,3.415791375,Q5,h,0.2,210.0,12.414573
-76.47408782,3.425323674,Q5,h,0.2,210.0,12.43876
-76.47317361,3.424962664,Q5,h,0.2,210.0,12.43876
-76.47368775,3.4161864,Q5,h,0.2,210.0,12.414573
-76.46608497,3.427047206,Q5,h,0.2,270.0,6.832918
-76.46676839,3.435614221,Q5,h,0.2,210.0,6.832901
-76.47134703,3.4208469210000003,Q5,h,0.2,210.0,13.117091
-76.47134789,3.425130952,Q5,h,0.2,210.0,7.931529
-76.46538287,3.429631038,Q5,h,0.2,210.0,7.5849514
-76.47442156,3.4297081730000003,Q5,h,0.2,210.0,13.144692
-76.47018309,3.418133784,Q5,h,0.2,210.0,6.4274597
-76.46927055,3.425739876,Q5,h,0.2,270.0,7.931529
-76.47320206,3.425990775,Q5,h,0.2,210.0,12.43876
-76.47451807,3.416661525,Q5,h,0.2,210.0,12.414573
-76.47482052,3.427267994,Q5,h,0.2,210.0,13.144692
-76.47213718,3.416154237,Q5,h,0.2,210.0,6.4274597
-76.47138608,3.41956638,Q5,h,0.2,210.0,13.117091
-76.471425,3.429574723,Q5,h,0.2,210.0,6.8329105
-76.47129688,3.430847631,Q5,h,0.2,210.0,6.8329105
-76.46679604,3.424206528,Q5,h,0.2,270.0,6.832918
-76.47001643,3.431486568,Q5,h,0.2,210.0,13.157315
-76.46906262,3.4266334360000004,Q5,h,0.2,270.0,7.931529
-76.469329,3.437392027,Q5,h,0.2,210.0,13.162677
-76.47315350000002,3.429363931,Q5,h,0.2,210.0,13.144692
-76.46969125,3.42237088,Q5,h,0.2,270.0,13.117091
-76.47286669,3.428903965,Q5,h,0.2,210.0,6.8329105
-76.47017201,3.423927796,Q5,h,0.2,270.0,7.931529
-76.46930642,3.424538871,Q5,h,0.2,270.0,7.931529
-76.46435863,3.427895437,Q5,h,0.2,270.0,6.139764
-76.47123679,3.4288763230000003,Q5,h,0.2,210.0,6.8329105
-76.46721879,3.433246226,Q5,h,0.2,210.0,8.624667
-76.46654165,3.429605215,Q5,h,0.2,210.0,7.5849514
-76.46655984,3.4333787160000004,Q5,h,0.2,210.0,8.624667
-76.46664818,3.427275701,Q5,h,0.2,270.0,7.5849514
-76.47003099,3.4269864880000003,Q5,h,0.2,270.0,7.931529
-76.47261606,3.426884607,Q5,h,0.2,210.0,7.931529
-76.46799331,3.433292807,Q5,h,0.2,210.0,8.624667
-76.47164116,3.415558722,Q5,h,0.2,210.0,6.4274597
-76.46642805,3.435617177,Q5,h,0.2,210.0,6.832901
-76.47475595,3.426271663,Q5,h,0.2,210.0,12.43876
-76.47023707,3.425700069,Q5,h,0.2,270.0,7.931529
-76.47018193,3.420998884,Q5,h,0.2,270.0,13.117091
