rup_mag,rup_rake,dist_rjb,site_vs30,result_type,damping,pgv,pga,0.10,0.20,0.50,1.00,2.00,3.00
6.5,-90.0,20.0,150.0,MEAN,5.0,1.73018930e+01,1.30477015e-01,2.07872578e-01,2.84278511e-01,2.83894131e-01,2.60925792e-01,1.26890161e-01,7.22827454e-02,
6.5,-90.0,50.0,150.0,MEAN,5.0,6.57777919e+00,4.54079594e-02,6.53847674e-02,9.62992933e-02,1.10743345e-01,1.08544684e-01,5.85957114e-02,3.57256465e-02,
6.5,-90.0,100.0,150.0,MEAN,5.0,3.09548327e+00,1.90035463e-02,2.37950907e-02,3.63229590e-02,5.18854055e-02,5.52112540e-02,3.21244798e-02,2.05046723e-02,
7.5,0.0,0.0,850.0,MEAN,5.0,5.29886960e+01,5.05225859e-01,8.56811337e-01,1.27981269e+00,9.82376364e-01,4.87577014e-01,1.99575946e-01,1.13819614e-01,
7.5,0.0,20.0,850.0,MEAN,5.0,1.69869351e+01,1.57959714e-01,2.65730068e-01,3.55178727e-01,2.51003428e-01,1.32031148e-01,8.03222828e-02,6.01305923e-02,
7.5,0.0,50.0,850.0,MEAN,5.0,7.77010082e+00,6.64539124e-02,1.00213182e-01,1.33655255e-01,1.07258861e-01,6.08425346e-02,4.35504639e-02,3.68907668e-02,
7.5,0.0,100.0,850.0,MEAN,5.0,4.22357568e+00,3.22612385e-02,4.20835585e-02,5.47191682e-02,5.39160569e-02,3.34870959e-02,2.70518219e-02,2.51045177e-02,
7.5,0.0,0.0,570.0,MEAN,5.0,7.02168321e+01,6.93746126e-01,1.22495802e+00,1.76244029e+00,1.26200450e+00,5.95030084e-01,2.50880090e-01,1.52707058e-01,
7.5,0.0,20.0,570.0,MEAN,5.0,2.25098721e+01,2.16900892e-01,3.79906477e-01,4.89119466e-01,3.22450202e-01,1.61128401e-01,1.00970392e-01,8.06747227e-02,
7.5,0.0,50.0,570.0,MEAN,5.0,1.02963822e+01,9.12505635e-02,1.43271845e-01,1.84057720e-01,1.37789518e-01,7.42511181e-02,5.47457974e-02,4.94948124e-02,
7.5,0.0,100.0,570.0,MEAN,5.0,5.59678058e+00,4.42992155e-02,6.01656282e-02,7.53542041e-02,6.92629720e-02,4.08670403e-02,3.40059193e-02,3.36816907e-02,
7.5,0.0,0.0,300.0,MEAN,5.0,1.00212347e+02,8.64039448e-01,1.39012292e+00,2.10731963e+00,1.98414271e+00,1.07957601e+00,4.26400001e-01,2.37083379e-01,
7.5,0.0,20.0,300.0,MEAN,5.0,3.21257317e+01,2.70143385e-01,4.31130451e-01,5.84831756e-01,5.06961119e-01,2.92338758e-01,1.71610969e-01,1.25250504e-01,
7.5,0.0,50.0,300.0,MEAN,5.0,1.46948330e+01,1.13649768e-01,1.62589634e-01,2.20074659e-01,2.16634780e-01,1.34715416e-01,9.30468737e-02,7.68425348e-02,
7.5,0.0,100.0,300.0,MEAN,5.0,7.98763628e+00,5.51733095e-02,6.82779473e-02,9.00997295e-02,1.08896300e-01,7.41459590e-02,5.77970297e-02,5.22920759e-02,
7.5,0.0,0.0,150.0,MEAN,5.0,1.27200621e+02,8.27394388e-01,1.22726177e+00,2.02603252e+00,2.30816528e+00,1.89765922e+00,8.02204690e-01,4.50614445e-01,
7.5,0.0,20.0,150.0,MEAN,5.0,4.07775405e+01,2.58686245e-01,3.80620958e-01,5.62272634e-01,5.89750955e-01,5.13867792e-01,3.22859108e-01,2.38058384e-01,
7.5,0.0,50.0,150.0,MEAN,5.0,1.86523113e+01,1.08829731e-01,1.43541293e-01,2.11585566e-01,2.52012557e-01,2.36800327e-01,1.75053092e-01,1.46051386e-01,
7.5,0.0,100.0,150.0,MEAN,5.0,1.01387936e+01,5.28333362e-02,6.02787803e-02,8.66242499e-02,1.26679728e-01,1.30332428e-01,1.08736042e-01,9.93893574e-02,
7.5,90.0,0.0,850.0,MEAN,5.0,5.74148629e+01,6.26029316e-01,1.09638429e+00,1.63618804e+00,1.13948262e+00,5.15192965e-01,1.91523997e-01,9.69818824e-02,
7.5,90.0,20.0,850.0,MEAN,5.0,1.84058606e+01,1.95729117e-01,3.40030832e-01,4.54081436e-01,2.91145078e-01,1.39509280e-01,7.70816571e-02,5.12352644e-02,
7.5,90.0,50.0,850.0,MEAN,5.0,8.41914044e+00,8.23435630e-02,1.28233783e-01,1.70872761e-01,1.24412203e-01,6.42886044e-02,4.17934079e-02,3.14333872e-02,
7.5,90.0,100.0,850.0,MEAN,5.0,4.57637264e+00,3.99751531e-02,5.38505392e-02,6.99562123e-02,6.25385666e-02,3.53837768e-02,2.59604084e-02,2.13907190e-02,
7.5,90.0,0.0,570.0,MEAN,5.0,7.60820721e+01,8.59626254e-01,1.56746844e+00,2.25320763e+00,1.46383021e+00,6.28732085e-01,2.40758261e-01,1.30116571e-01,
7.5,90.0,20.0,570.0,MEAN,5.0,2.43901307e+01,2.68763593e-01,4.86132099e-01,6.25319176e-01,3.74017956e-01,1.70254578e-01,9.68967125e-02,6.87402301e-02,
7.5,90.0,50.0,570.0,MEAN,5.0,1.11564431e+01,1.13069287e-01,1.83332075e-01,2.35310246e-01,1.59825467e-01,7.84566387e-02,5.25370624e-02,4.21728724e-02,
7.5,90.0,100.0,570.0,MEAN,5.0,6.06428189e+00,5.48915046e-02,7.69885350e-02,9.63372594e-02,8.03398326e-02,4.31817150e-02,3.26339407e-02,2.86990409e-02,
7.5,90.0,0.0,300.0,MEAN,5.0,1.08583124e+02,1.07063804e+00,1.77881509e+00,2.69412172e+00,2.30145615e+00,1.14072228e+00,4.09196770e-01,2.02010810e-01,
7.5,90.0,20.0,300.0,MEAN,5.0,3.48092069e+01,3.34736783e-01,5.51678804e-01,7.47683414e-01,5.88036729e-01,3.08896579e-01,1.64687275e-01,1.06721761e-01,
7.5,90.0,50.0,300.0,MEAN,5.0,1.59222982e+01,1.40824317e-01,2.08051309e-01,2.81356425e-01,2.51280034e-01,1.42345584e-01,8.92928708e-02,6.54749510e-02,
7.5,90.0,100.0,300.0,MEAN,5.0,8.65484672e+00,6.83656796e-02,8.73691390e-02,1.15188809e-01,1.26311509e-01,7.83455234e-02,5.54651919e-02,4.45563270e-02,
7.5,90.0,0.0,150.0,MEAN,5.0,1.37825740e+02,1.02523086e+00,1.57041634e+00,2.59019949e+00,2.67729795e+00,2.00514103e+00,7.69839511e-01,3.83953481e-01,
7.5,90.0,20.0,150.0,MEAN,5.0,4.41837047e+01,3.20540151e-01,4.87046356e-01,7.18842502e-01,6.84066705e-01,5.42972830e-01,3.09833264e-01,2.02841578e-01,
7.5,90.0,50.0,150.0,MEAN,5.0,2.02103463e+01,1.34851771e-01,1.83676863e-01,2.70503468e-01,2.92315592e-01,2.50212497e-01,1.67990524e-01,1.24445496e-01,
7.5,90.0,100.0,150.0,MEAN,5.0,1.09856910e+01,6.54662004e-02,7.71333255e-02,1.10745551e-01,1.46938947e-01,1.37714347e-01,1.04349055e-01,8.46863437e-02,
7.5,-90.0,0.0,850.0,MEAN,5.0,5.00839095e+01,4.90492387e-01,8.63318414e-01,1.25728696e+00,9.10264079e-01,4.72353376e-01,1.79509814e-01,9.81739600e-02,
7.5,-90.0,20.0,850.0,MEAN,5.0,1.60557286e+01,1.53353269e-01,2.67748162e-01,3.48927298e-01,2.32578279e-01,1.27908733e-01,7.22463719e-02,5.18650357e-02,
7.5,-90.0,50.0,850.0,MEAN,5.0,7.34415179e+00,6.45159735e-02,1.00974254e-01,1.31302815e-01,9.93854210e-02,5.89428455e-02,3.91717330e-02,3.18197587e-02,
7.5,-90.0,100.0,850.0,MEAN,5.0,3.99204355e+00,3.13204314e-02,4.24031632e-02,5.37560671e-02,4.99582967e-02,3.24415269e-02,2.43319278e-02,2.16536485e-02,
7.5,-90.0,0.0,570.0,MEAN,5.0,6.63676167e+01,6.73514997e-01,1.23426099e+00,1.73141993e+00,1.16936584e+00,5.76451434e-01,2.25655642e-01,1.31715932e-01,
7.5,-90.0,20.0,570.0,MEAN,5.0,2.12759038e+01,2.10575596e-01,3.82791687e-01,4.80510572e-01,2.98780433e-01,1.56097482e-01,9.08184410e-02,6.95851682e-02,
7.5,-90.0,50.0,570.0,MEAN,5.0,9.73194496e+00,8.85895009e-02,1.44359927e-01,1.80818157e-01,1.27674946e-01,7.19327722e-02,4.92414447e-02,4.26912511e-02,
7.5,-90.0,100.0,570.0,MEAN,5.0,5.28997075e+00,4.30073552e-02,6.06225577e-02,7.40279098e-02,6.41786567e-02,3.95910469e-02,3.05868336e-02,2.90518025e-02,
7.5,-90.0,0.0,300.0,MEAN,5.0,9.47188075e+01,8.38842200e-01,1.40068025e+00,2.07022912e+00,1.83849480e+00,1.04586836e+00,3.83528107e-01,2.04493877e-01,
7.5,-90.0,20.0,300.0,MEAN,5.0,3.03646317e+01,2.62265423e-01,4.34404683e-01,5.74538249e-01,4.69747149e-01,2.83211053e-01,1.54356543e-01,1.08033558e-01,
7.5,-90.0,50.0,300.0,MEAN,5.0,1.38892772e+01,1.10335497e-01,1.63824425e-01,2.16201169e-01,2.00732495e-01,1.30509191e-01,8.36915837e-02,6.62797532e-02,
7.5,-90.0,100.0,300.0,MEAN,5.0,7.54976217e+00,5.35643372e-02,6.87964860e-02,8.85139022e-02,1.00902662e-01,7.18308964e-02,5.19858943e-02,4.51040025e-02,
7.5,-90.0,0.0,150.0,MEAN,5.0,1.20227612e+02,8.03265789e-01,1.23658224e+00,1.99037273e+00,2.13873218e+00,1.83840852e+00,7.21547950e-01,3.88672943e-01,
7.5,-90.0,20.0,150.0,MEAN,5.0,3.85421572e+01,2.51142399e-01,3.83511594e-01,5.52376186e-01,5.46459717e-01,4.97823276e-01,2.90397613e-01,2.05334858e-01,
7.5,-90.0,50.0,150.0,MEAN,5.0,1.76298105e+01,1.05656022e-01,1.44631421e-01,2.07861491e-01,2.33513332e-01,2.29406700e-01,1.57452582e-01,1.25975149e-01,
7.5,-90.0,100.0,150.0,MEAN,5.0,9.58299521e+00,5.12926025e-02,6.07365691e-02,8.50995938e-02,1.17380680e-01,1.26263053e-01,9.78033025e-02,8.57272876e-02,
