rup_mag,rup_hypo_depth,dist_rhypo,site_vs30,site_xvf,result_type,damping,pga,0.1,0.2,0.5,1.0,2.0,5.0
6.5,135.0,180.0,900.0,-0.0,MEAN,5,1.59517321e-02,3.20145884e-02,3.63820452e-02,2.68440340e-02,1.49500923e-02,5.00424397e-03,6.57935043e-04
6.5,135.0,240.0,900.0,-60.0,MEAN,5,3.20446908e-03,4.96756920e-03,7.02821483e-03,8.40484038e-03,6.59276619e-03,2.88033280e-03,4.00438462e-04
6.5,135.0,300.0,900.0,-120.0,MEAN,5,1.32205784e-03,1.86534812e-03,2.85654988e-03,4.17358763e-03,3.73869032e-03,1.81761012e-03,2.46774130e-04
7.5,45.0,60.0,300.0,120.0,MEAN,5,3.52310328e-01,5.92190221e-01,7.77919462e-01,6.30434324e-01,3.51937577e-01,1.35426874e-01,3.42549567e-02
7.5,45.0,120.0,300.0,60.0,MEAN,5,1.34793152e-01,2.53330000e-01,3.32317505e-01,2.80280097e-01,1.68165520e-01,6.60157306e-02,1.64656686e-02
7.5,45.0,180.0,300.0,-0.0,MEAN,5,3.92509387e-02,6.76249971e-02,9.91315943e-02,1.07705518e-01,7.93124287e-02,3.54624347e-02,8.97949458e-03
7.5,45.0,240.0,300.0,-60.0,MEAN,5,8.45278302e-03,1.15058163e-02,2.07996562e-02,3.55908889e-02,3.64781551e-02,2.11120000e-02,5.63889774e-03
7.5,45.0,300.0,300.0,-120.0,MEAN,5,3.60766138e-03,4.48708940e-03,8.76320426e-03,1.82087785e-02,2.12490259e-02,1.36577120e-02,3.55906219e-03
7.5,45.0,60.0,600.0,120.0,MEAN,5,3.43577835e-01,7.30932224e-01,8.43994383e-01,4.70286744e-01,2.19158585e-01,8.16304341e-02,2.26625902e-02
7.5,45.0,120.0,600.0,60.0,MEAN,5,1.11554658e-01,2.42625179e-01,2.74804712e-01,1.80359981e-01,9.76763319e-02,3.93703861e-02,1.08934512e-02
7.5,45.0,180.0,600.0,-0.0,MEAN,5,3.02197060e-02,5.75567352e-02,7.30810284e-02,6.54487518e-02,4.48568734e-02,2.10630898e-02,5.94070539e-03
7.5,45.0,240.0,600.0,-60.0,MEAN,5,6.35991207e-03,9.42330735e-03,1.47920130e-02,2.12552658e-02,2.04661643e-02,1.25242012e-02,3.73061422e-03
7.5,45.0,300.0,600.0,-120.0,MEAN,5,2.70466205e-03,3.65273059e-03,6.19724975e-03,1.08453774e-02,1.19070795e-02,8.10058576e-03,2.35462472e-03
7.5,45.0,60.0,900.0,120.0,MEAN,5,3.15710987e-01,7.51770228e-01,7.50965923e-01,3.46912809e-01,1.56094540e-01,6.01327399e-02,1.77975063e-02
7.5,45.0,120.0,900.0,60.0,MEAN,5,9.69472008e-02,2.26393494e-01,2.30755426e-01,1.33044761e-01,6.95694496e-02,2.90020410e-02,8.55490325e-03
7.5,45.0,180.0,900.0,-0.0,MEAN,5,2.57041016e-02,5.16665977e-02,6.00308469e-02,4.82790778e-02,3.19490703e-02,1.55160427e-02,4.66538646e-03
7.5,45.0,240.0,900.0,-60.0,MEAN,5,5.37455462e-03,8.35944474e-03,1.20704706e-02,1.56792086e-02,1.45769170e-02,9.22590385e-03,2.92974587e-03
7.5,45.0,300.0,900.0,-120.0,MEAN,5,2.28333153e-03,3.23441635e-03,5.05188095e-03,8.00022617e-03,8.48075423e-03,5.96726481e-03,1.84914645e-03
7.5,90.0,60.0,300.0,120.0,MEAN,5,5.31337166e-01,7.97612160e-01,1.06263220e+00,9.70542758e-01,5.52004978e-01,1.96627744e-01,3.50344295e-02
7.5,90.0,120.0,300.0,60.0,MEAN,5,2.21692724e-01,3.90627448e-01,5.21620945e-01,4.64897643e-01,2.73554370e-01,9.63847522e-02,1.68403455e-02
7.5,90.0,180.0,300.0,-0.0,MEAN,5,6.84859379e-02,1.15380610e-01,1.70001265e-01,1.85846798e-01,1.31436828e-01,5.19234511e-02,9.18382329e-03
7.5,90.0,240.0,300.0,-60.0,MEAN,5,1.50772153e-02,2.04183504e-02,3.68311533e-02,6.22341416e-02,6.08256151e-02,3.09409702e-02,5.76721105e-03
7.5,90.0,300.0,300.0,-120.0,MEAN,5,6.45820996e-03,8.01485661e-03,1.55983545e-02,3.19071077e-02,3.54663339e-02,2.00192264e-02,3.64004877e-03
7.5,90.0,60.0,600.0,120.0,MEAN,5,5.86737136e-01,1.17873677e+00,1.43064248e+00,8.25378940e-01,3.66059395e-01,1.19665716e-01,2.31782782e-02
7.5,90.0,120.0,600.0,60.0,MEAN,5,1.96028377e-01,4.15379926e-01,4.80402536e-01,3.16541625e-01,1.63148247e-01,5.77148158e-02,1.11413321e-02
7.5,90.0,180.0,600.0,-0.0,MEAN,5,5.39001042e-02,1.01838124e-01,1.29745367e-01,1.14866137e-01,7.49241921e-02,3.08773286e-02,6.07588634e-03
7.5,90.0,240.0,600.0,-60.0,MEAN,5,1.14002509e-02,1.68618168e-02,2.63952504e-02,3.73041532e-02,3.41845231e-02,1.83597886e-02,3.81550447e-03
