id,lon,lat,number,nonstructural,structural,night,taxonomy,NAME_1,NAME_2,NAME_3,NAME_4,policy
a5947,82.18882,28.18617,233,19845,11340,1137,Stone-Masonry,Mid-Western,Rapti,Dang,Baghmare,p_Mid-Western
a5948,80.46382,29.68617,234,19845,11340,1142,Stone-Masonry,Far-Western,Mahakali,Darchula,Kharkada,p_Far-Western
a5949,82.41382,28.11117,234,19845,11340,1142,Stone-Masonry,Mid-Western,Rapti,Dang,Hapur,p_Mid-Western
a5950,82.56382,28.48617,235,19845,11340,1147,Stone-Masonry,Mid-Western,Rapti,Rolpa,Rangkot,p_Mid-Western
a5951,81.51382,29.01117,235,19845,11340,1147,Stone-Masonry,Mid-Western,Bheri,Dailekh,Tolijaisi,p_Mid-Western
a5952,86.38882,26.83617,235,19845,11340,1147,Stone-Masonry,East,Sagarmatha,Siraha,Muksar,p_East
a5953,86.23882,27.66117,235,19845,11340,1147,Stone-Masonry,Central,Janakpur,Dolakha,Jiri,p_Central_Dolakha
a5954,80.68882,29.31117,236,19845,11340,1152,Stone-Masonry,Far-Western,Mahakali,Dadeldhura,Nawadurga,p_Far-Western
a5955,87.66382,26.53617,237,19845,11340,1157,Stone-Masonry,East,Mechi,Jhapa,Kohabara,p_East
a5956,82.41382,28.56117,237,19845,11340,1157,Stone-Masonry,Mid-Western,Rapti,Rukum,Khara,p_Mid-Western
a5957,83.38882,28.41117,237,19845,11340,1157,Stone-Masonry,West,Dhaualagiri,Myagdi,Niskot,p_West
a5958,81.73882,29.31117,237,19845,11340,1157,Stone-Masonry,Mid-Western,Karnali,Kalikot,Nanikot,p_Mid-Western
a5959,81.81382,28.11117,237,19845,11340,1157,Stone-Masonry,Mid-Western,Bheri,Banke,Kanchanapur,p_Mid-Western
a5960,87.06382,27.06117,238,19845,11340,1161,Stone-Masonry,East,Koshi,Bhojpur,Basikhola,p_East
a5961,85.41382,27.51117,238,19845,11340,1161,Stone-Masonry,Central,Bagmati,Lalitpur,Gotikhel,p_Central_Lalitpur
a5962,87.58882,26.68617,239,19845,11340,1166,Stone-Masonry,East,Koshi,Morang,Urlabari,p_East
a5964,83.08882,28.26117,240,19845,11340,1171,Stone-Masonry,Mid-Western,Rapti,Pyuthan,Arkha,p_Mid-Western
a5965,87.96382,26.98617,241,19845,11340,1176,Stone-Masonry,East,Mechi,Ilam,Sumbek,p_East
a5966,87.43882,26.98617,241,19845,11340,1176,Stone-Masonry,East,Koshi,Dhankuta,Telia,p_East
a5967,87.13882,27.36117,243,19845,11340,1186,Stone-Masonry,East,Koshi,Bhojpur,Mulpani,p_East
a5968,85.33882,27.88617,243,19845,11340,1186,Stone-Masonry,Central,Bagmati,Nuwakot,Panchkanya,p_Central_Nuwakot
a5969,80.31382,29.16117,244,19845,11340,1191,Stone-Masonry,Far-Western,Mahakali,Dadeldhura,Sirsha,p_Far-Western
a5970,86.23882,27.21117,244,19845,11340,1191,Stone-Masonry,Central,Janakpur,Sindhuli,Kholagaun,p_Central_Sindhuli
a5971,86.46382,27.36117,245,19845,11340,1196,Stone-Masonry,East,Sagarmatha,Okhaldhunga,Ragadeep,p_East
a5972,80.38882,29.46117,245,19845,11340,1196,Stone-Masonry,Far-Western,Mahakali,Baitadi,Raudidewal,p_Far-Western
a5973,86.46382,27.06117,245,19845,11340,1196,Stone-Masonry,East,Sagarmatha,Udayapur,Limpatar,p_East
a5974,82.26382,28.71117,245,19845,11340,1196,Stone-Masonry,Mid-Western,Bheri,Jajarkot,Khalanga,p_Mid-Western
a5975,82.11382,28.56117,246,19845,11340,1200,Stone-Masonry,Mid-Western,Rapti,Salyan,Mulkhola,p_Mid-Western
a5976,86.31382,27.13617,246,19845,11340,1200,Stone-Masonry,Central,Janakpur,Sindhuli,Mahadevdada,p_Central_Sindhuli
