rup_mag,dist_repi,rup_hypo_depth,result_type,mmi 
4.6,14,5,MEAN,4.456
4.6,14,10,MEAN,4.895
4.6,14,15,MEAN,5.081
4.6,14,20,MEAN,5.174
4.6,14,30,MEAN,5.258
4.6,14,40,MEAN,5.292
4.6,16,5,MEAN,4.355
4.6,16,10,MEAN,4.816
4.6,16,15,MEAN,5.023
4.6,16,20,MEAN,5.132
4.6,16,30,MEAN,5.234
4.6,16,40,MEAN,5.277
4.6,18,5,MEAN,4.263
4.6,18,10,MEAN,4.742
4.6,18,15,MEAN,4.966
4.6,18,20,MEAN,5.089
4.6,18,30,MEAN,5.208
4.6,18,40,MEAN,5.26
4.6,20,5,MEAN,4.179
4.6,20,10,MEAN,4.671
4.6,20,15,MEAN,4.91
4.6,20,20,MEAN,5.045
4.6,20,30,MEAN,5.18
4.6,20,40,MEAN,5.242
4.6,22,5,MEAN,4.101
4.6,22,10,MEAN,4.604
4.6,22,15,MEAN,4.855
4.6,22,20,MEAN,5.001
4.6,22,30,MEAN,5.152
4.6,22,40,MEAN,5.223
4.6,25,5,MEAN,3.995
4.6,25,10,MEAN,4.509
4.6,25,15,MEAN,4.775
4.6,25,20,MEAN,4.935
4.6,25,30,MEAN,5.107
4.6,25,40,MEAN,5.192
4.6,28,5,MEAN,3.899
4.6,28,10,MEAN,4.422
4.6,28,15,MEAN,4.699
4.6,28,20,MEAN,4.87
4.6,28,30,MEAN,5.062
4.6,28,40,MEAN,5.159
4.6,32,5,MEAN,3.784
4.6,32,10,MEAN,4.314
4.6,32,15,MEAN,4.602
4.6,32,20,MEAN,4.786
4.6,32,30,MEAN,5
4.6,32,40,MEAN,5.113
4.6,35,5,MEAN,3.704
4.6,35,10,MEAN,4.24
4.6,35,15,MEAN,4.534
4.6,35,20,MEAN,4.725
4.6,35,30,MEAN,4.953
4.6,35,40,MEAN,5.077
4.6,40,5,MEAN,3.584
4.6,40,10,MEAN,4.125
4.6,40,15,MEAN,4.428
4.6,40,20,MEAN,4.628
4.6,40,30,MEAN,4.876
4.6,40,40,MEAN,5.016
4.6,45,5,MEAN,3.476
4.6,45,10,MEAN,4.021
4.6,45,15,MEAN,4.329
4.6,45,20,MEAN,4.537
4.6,45,30,MEAN,4.8
4.6,45,40,MEAN,4.955
4.6,50,5,MEAN,3.377
4.6,50,10,MEAN,3.925
4.6,50,15,MEAN,4.238
4.6,50,20,MEAN,4.451
4.6,50,30,MEAN,4.726
4.6,50,40,MEAN,4.893
4.6,56,5,MEAN,3.268
4.6,56,10,MEAN,3.818
4.6,56,15,MEAN,4.136
4.6,56,20,MEAN,4.354
4.6,56,30,MEAN,4.641
4.6,56,40,MEAN,4.82
4.6,63,5,MEAN,3.152
4.6,63,10,MEAN,3.705
4.6,63,15,MEAN,4.025
4.6,63,20,MEAN,4.248
4.6,63,30,MEAN,4.546
4.6,63,40,MEAN,4.737
4.6,71,5,MEAN,3.031
4.6,71,10,MEAN,3.585
4.6,71,15,MEAN,3.909
4.6,71,20,MEAN,4.135
4.6,71,30,MEAN,4.442
4.6,71,40,MEAN,4.644
4.6,79,5,MEAN,2.92
4.6,79,10,MEAN,3.476
4.6,79,15,MEAN,3.801
4.6,79,20,MEAN,4.03
4.6,79,30,MEAN,4.344
4.6,79,40,MEAN,4.554
4.6,89,5,MEAN,2.793
4.6,89,10,MEAN,3.349
4.6,89,15,MEAN,3.676
4.6,89,20,MEAN,3.908
4.6,89,30,MEAN,4.229
4.6,89,40,MEAN,4.447
4.6,100,5,MEAN,2.663
4.6,100,10,MEAN,3.221
4.6,100,15,MEAN,3.55
4.6,100,20,MEAN,3.783
4.6,100,30,MEAN,4.11
4.6,100,40,MEAN,4.334
4.6,112,5,MEAN,2.533
4.6,112,10,MEAN,3.092
4.6,112,15,MEAN,3.422
4.6,112,20,MEAN,3.657
4.6,112,30,MEAN,3.987
4.6,112,40,MEAN,4.218
4.6,126,5,MEAN,2.393
4.6,126,10,MEAN,2.952
4.6,126,15,MEAN,3.283
4.6,126,20,MEAN,3.519
4.6,126,30,MEAN,3.854
4.6,126,40,MEAN,4.089
4.6,141,5,MEAN,2.253
4.6,141,10,MEAN,2.812
4.6,141,15,MEAN,3.144
4.6,141,20,MEAN,3.382
4.6,141,30,MEAN,3.719
4.6,141,40,MEAN,3.958
4.6,158,5,MEAN,2.105
4.6,158,10,MEAN,2.665
4.6,158,15,MEAN,2.997
4.6,158,20,MEAN,3.236
4.6,158,30,MEAN,3.576
4.6,158,40,MEAN,3.818
4.6,178,5,MEAN,1.942
4.6,178,10,MEAN,2.502
4.6,178,15,MEAN,2.836
4.6,178,20,MEAN,3.075
4.6,178,30,MEAN,3.417
4.6,178,40,MEAN,3.663
4.6,200,5,MEAN,1.775
4.6,200,10,MEAN,2.335
4.6,200,15,MEAN,2.669
4.6,200,20,MEAN,2.909
4.6,200,30,MEAN,3.253
4.6,200,40,MEAN,3.501
4.6,224,5,MEAN,1.603
4.6,224,10,MEAN,2.164
4.6,224,15,MEAN,2.498
4.6,224,20,MEAN,2.738
4.6,224,30,MEAN,3.084
4.6,224,40,MEAN,3.334
4.6,250,5,MEAN,1.428
4.6,250,10,MEAN,1.988
4.6,250,15,MEAN,2.322
4.6,250,20,MEAN,2.563
4.6,250,30,MEAN,2.91
4.6,250,40,MEAN,3.161
4.7,1.00E-01,5,MEAN,5.435
4.7,1.00E-01,10,MEAN,5.436
4.7,1.00E-01,15,MEAN,5.436
4.7,1.00E-01,20,MEAN,5.436
4.7,1.00E-01,30,MEAN,5.436
4.7,1.00E-01,40,MEAN,5.436
4.7,1,5,MEAN,5.42
4.7,1,10,MEAN,5.432
4.7,1,15,MEAN,5.434
4.7,1,20,MEAN,5.435
4.7,1,30,MEAN,5.435
4.7,1,40,MEAN,5.435
4.7,2,5,MEAN,5.376
4.7,2,10,MEAN,5.42
4.7,2,15,MEAN,5.428
4.7,2,20,MEAN,5.431
4.7,2,30,MEAN,5.434
4.7,2,40,MEAN,5.434
4.7,3,5,MEAN,5.312
4.7,3,10,MEAN,5.4
4.7,3,15,MEAN,5.419
4.7,3,20,MEAN,5.426
4.7,3,30,MEAN,5.431
4.7,3,40,MEAN,5.433
4.7,4,5,MEAN,5.236
4.7,4,10,MEAN,5.375
4.7,4,15,MEAN,5.407
4.7,4,20,MEAN,5.419
4.7,4,30,MEAN,5.428
4.7,4,40,MEAN,5.431
4.7,5,5,MEAN,5.156
4.7,5,10,MEAN,5.344
4.7,5,15,MEAN,5.391
4.7,5,20,MEAN,5.41
4.7,5,30,MEAN,5.423
4.7,5,40,MEAN,5.428
4.7,6,5,MEAN,5.076
4.7,6,10,MEAN,5.309
4.7,6,15,MEAN,5.373
4.7,6,20,MEAN,5.399
4.7,6,30,MEAN,5.418
4.7,6,40,MEAN,5.425
4.7,7,5,MEAN,4.997
4.7,7,10,MEAN,5.271
4.7,7,15,MEAN,5.353
4.7,7,20,MEAN,5.386
4.7,7,30,MEAN,5.412
4.7,7,40,MEAN,5.422
4.7,8,5,MEAN,4.922
4.7,8,10,MEAN,5.232
4.7,8,15,MEAN,5.33
4.7,8,20,MEAN,5.372
4.7,8,30,MEAN,5.405
4.7,8,40,MEAN,5.417
4.7,9,5,MEAN,4.85
4.7,9,10,MEAN,5.191
4.7,9,15,MEAN,5.306
4.7,9,20,MEAN,5.357
4.7,9,30,MEAN,5.397
4.7,9,40,MEAN,5.413
4.7,10,5,MEAN,4.782
4.7,10,10,MEAN,5.149
4.7,10,15,MEAN,5.281
4.7,10,20,MEAN,5.34
4.7,10,30,MEAN,5.389
4.7,10,40,MEAN,5.408
4.7,11,5,MEAN,4.718
4.7,11,10,MEAN,5.107
4.7,11,15,MEAN,5.254
4.7,11,20,MEAN,5.322
4.7,11,30,MEAN,5.379
4.7,11,40,MEAN,5.402
4.7,12,5,MEAN,4.657
4.7,12,10,MEAN,5.066
4.7,12,15,MEAN,5.227
4.7,12,20,MEAN,5.303
4.7,12,30,MEAN,5.369
4.7,12,40,MEAN,5.396
4.7,14,5,MEAN,4.546
4.7,14,10,MEAN,4.984
4.7,14,15,MEAN,5.17
4.7,14,20,MEAN,5.264
4.7,14,30,MEAN,5.347
4.7,14,40,MEAN,5.382
4.7,16,5,MEAN,4.445
4.7,16,10,MEAN,4.906
4.7,16,15,MEAN,5.113
4.7,16,20,MEAN,5.222
4.7,16,30,MEAN,5.323
4.7,16,40,MEAN,5.367
4.7,18,5,MEAN,4.353
4.7,18,10,MEAN,4.832
4.7,18,15,MEAN,5.056
4.7,18,20,MEAN,5.179
4.7,18,30,MEAN,5.298
4.7,18,40,MEAN,5.35
4.7,20,5,MEAN,4.269
4.7,20,10,MEAN,4.761
4.7,20,15,MEAN,5
4.7,20,20,MEAN,5.135
4.7,20,30,MEAN,5.27
4.7,20,40,MEAN,5.332
4.7,22,5,MEAN,4.191
4.7,22,10,MEAN,4.694
4.7,22,15,MEAN,4.945
4.7,22,20,MEAN,5.091
4.7,22,30,MEAN,5.242
4.7,22,40,MEAN,5.312
4.7,25,5,MEAN,4.085
4.7,25,10,MEAN,4.599
4.7,25,15,MEAN,4.865
4.7,25,20,MEAN,5.025
4.7,25,30,MEAN,5.197
4.7,25,40,MEAN,5.281
4.7,28,5,MEAN,3.989
4.7,28,10,MEAN,4.512
4.7,28,15,MEAN,4.788
4.7,28,20,MEAN,4.96
4.7,28,30,MEAN,5.151
4.7,28,40,MEAN,5.249
4.7,32,5,MEAN,3.873
4.7,32,10,MEAN,4.404
4.7,32,15,MEAN,4.692
4.7,32,20,MEAN,4.876
4.7,32,30,MEAN,5.089
4.7,32,40,MEAN,5.203
4.7,35,5,MEAN,3.794
4.7,35,10,MEAN,4.33
4.7,35,15,MEAN,4.624
4.7,35,20,MEAN,4.815
4.7,35,30,MEAN,5.043
4.7,35,40,MEAN,5.167
4.7,40,5,MEAN,3.674
4.7,40,10,MEAN,4.215
4.7,40,15,MEAN,4.518
4.7,40,20,MEAN,4.718
4.7,40,30,MEAN,4.965
4.7,40,40,MEAN,5.106
4.7,45,5,MEAN,3.566
4.7,45,10,MEAN,4.111
4.7,45,15,MEAN,4.419
4.7,45,20,MEAN,4.627
4.7,45,30,MEAN,4.89
4.7,45,40,MEAN,5.045
4.7,50,5,MEAN,3.467
4.7,50,10,MEAN,4.014
4.7,50,15,MEAN,4.328
4.7,50,20,MEAN,4.541
4.7,50,30,MEAN,4.816
4.7,50,40,MEAN,4.983
4.7,56,5,MEAN,3.358
4.7,56,10,MEAN,3.908
4.7,56,15,MEAN,4.225
4.7,56,20,MEAN,4.444
4.7,56,30,MEAN,4.731
4.7,56,40,MEAN,4.91
4.7,63,5,MEAN,3.242
4.7,63,10,MEAN,3.794
4.7,63,15,MEAN,4.115
4.7,63,20,MEAN,4.338
4.7,63,30,MEAN,4.635
4.7,63,40,MEAN,4.826
4.7,71,5,MEAN,3.121
4.7,71,10,MEAN,3.675
4.7,71,15,MEAN,3.999
4.7,71,20,MEAN,4.225
4.7,71,30,MEAN,4.532
4.7,71,40,MEAN,4.733
4.7,79,5,MEAN,3.01
4.7,79,10,MEAN,3.566
4.7,79,15,MEAN,3.891
4.7,79,20,MEAN,4.12
4.7,79,30,MEAN,4.434
4.7,79,40,MEAN,4.644
4.7,89,5,MEAN,2.882
4.7,89,10,MEAN,3.439
4.7,89,15,MEAN,3.766
4.7,89,20,MEAN,3.998
4.7,89,30,MEAN,4.319
4.7,89,40,MEAN,4.537
4.7,100,5,MEAN,2.753
4.7,100,10,MEAN,3.311
4.7,100,15,MEAN,3.64
4.7,100,20,MEAN,3.873
4.7,100,30,MEAN,4.199
4.7,100,40,MEAN,4.424
4.7,112,5,MEAN,2.623
4.7,112,10,MEAN,3.181
4.7,112,15,MEAN,3.511
4.7,112,20,MEAN,3.747
4.7,112,30,MEAN,4.077
4.7,112,40,MEAN,4.307
4.7,126,5,MEAN,2.482
4.7,126,10,MEAN,3.041
4.7,126,15,MEAN,3.372
4.7,126,20,MEAN,3.609
4.7,126,30,MEAN,3.943
4.7,126,40,MEAN,4.179
4.7,141,5,MEAN,2.343
4.7,141,10,MEAN,2.902
4.7,141,15,MEAN,3.234
4.7,141,20,MEAN,3.471
4.7,141,30,MEAN,3.809
4.7,141,40,MEAN,4.048
4.7,158,5,MEAN,2.195
4.7,158,10,MEAN,2.754
4.7,158,15,MEAN,3.087
4.7,158,20,MEAN,3.326
4.7,158,30,MEAN,3.665
4.7,158,40,MEAN,3.908
4.7,178,5,MEAN,2.032
4.7,178,10,MEAN,2.592
4.7,178,15,MEAN,2.925
4.7,178,20,MEAN,3.165
4.7,178,30,MEAN,3.507
4.7,178,40,MEAN,3.752
4.7,200,5,MEAN,1.865
4.7,200,10,MEAN,2.425
4.7,200,15,MEAN,2.759
4.7,200,20,MEAN,2.999
4.7,200,30,MEAN,3.343
4.7,200,40,MEAN,3.591
4.7,224,5,MEAN,1.693
4.7,224,10,MEAN,2.254
4.7,224,15,MEAN,2.588
4.7,224,20,MEAN,2.828
4.7,224,30,MEAN,3.174
4.7,224,40,MEAN,3.423
4.7,250,5,MEAN,1.517
4.7,250,10,MEAN,2.078
4.7,250,15,MEAN,2.412
4.7,250,20,MEAN,2.653
4.7,250,30,MEAN,3
4.7,250,40,MEAN,3.251
4.8,1.00E-01,5,MEAN,5.525
4.8,1.00E-01,10,MEAN,5.525
4.8,1.00E-01,15,MEAN,5.525
4.8,1.00E-01,20,MEAN,5.525
4.8,1.00E-01,30,MEAN,5.525
4.8,1.00E-01,40,MEAN,5.525
4.8,1,5,MEAN,5.51
4.8,1,10,MEAN,5.521
4.8,1,15,MEAN,5.524
4.8,1,20,MEAN,5.524
