rup_mag,rup_rake,dist_rjb,site_vs30,result_type,damping,0.04,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.8,0.9,1,1.25,1.5,1.75,2,2.5,2.75,4,pga,pgv
5.0000000E+00,0.0000000E+00,1.0000000E+02,8.0000000E+02,INTRA_EVENT_STDDEV,5.0000000E+00,7.0689394E-01,7.4603593E-01,7.5524583E-01,7.3222401E-01,7.3682656E-01,7.0919458E-01,6.6775152E-01,6.5163446E-01,6.4242225E-01,6.5393493E-01,6.5163093E-01,6.5163035E-01,6.5163243E-01,6.5393229E-01,6.5853939E-01,6.5163006E-01,6.6775027E-01,6.9768476E-01,7.0228942E-01,7.0919823E-01,7.1149879E-01,7.1380138E-01,6.9077553E-01,6.6775094E-01,6.2169554E-01
5.5000000E+00,0.0000000E+00,1.0000000E+02,8.0000000E+02,INTRA_EVENT_STDDEV,5.0000000E+00,7.0689366E-01,7.4603683E-01,7.5524925E-01,7.3222142E-01,7.3682288E-01,7.0919604E-01,6.6774930E-01,6.5163147E-01,6.4242083E-01,6.5393512E-01,6.5163066E-01,6.5163054E-01,6.5163251E-01,6.5393470E-01,6.5853912E-01,6.5163184E-01,6.6774790E-01,6.9768607E-01,7.0229097E-01,7.0919512E-01,7.1149879E-01,7.1380138E-01,6.9077553E-01,6.6775005E-01,6.2169875E-01
6.0000000E+00,0.0000000E+00,1.0000000E+02,8.0000000E+02,INTRA_EVENT_STDDEV,5.0000000E+00,7.0688883E-01,7.4604085E-01,7.5524711E-01,7.3222486E-01,7.3682815E-01,7.0919445E-01,6.6774564E-01,6.5163322E-01,6.4241963E-01,6.5393870E-01,6.5163335E-01,6.5162974E-01,6.5162874E-01,6.5393339E-01,6.5853947E-01,6.5162843E-01,6.6774970E-01,6.9768447E-01,7.0228682E-01,7.0919537E-01,7.1149879E-01,7.1380138E-01,6.9077553E-01,6.6774923E-01,6.2169817E-01
6.5000000E+00,0.0000000E+00,1.0000000E+02,8.0000000E+02,INTRA_EVENT_STDDEV,5.0000000E+00,7.0689179E-01,7.4603932E-01,7.5524828E-01,7.3222062E-01,7.3682968E-01,7.0919722E-01,6.6774912E-01,6.5163069E-01,6.4241918E-01,6.5393365E-01,6.5163366E-01,6.5163103E-01,6.5163102E-01,6.5393314E-01,6.5853926E-01,6.5163058E-01,6.6774896E-01,6.9768137E-01,7.0228809E-01,7.0919887E-01,7.1149879E-01,7.1380138E-01,6.9077553E-01,6.6774807E-01,6.2169567E-01
6.9000000E+00,0.0000000E+00,1.0000000E+02,8.0000000E+02,INTRA_EVENT_STDDEV,5.0000000E+00,7.0689597E-01,7.4603917E-01,7.5524792E-01,7.3222072E-01,7.3682631E-01,7.0919602E-01,6.6774913E-01,6.5163225E-01,6.4242051E-01,6.5393449E-01,6.5163053E-01,6.5163244E-01,6.5163283E-01,6.5393407E-01,6.5853846E-01,6.5163255E-01,6.6775120E-01,6.9768152E-01,7.0229041E-01,7.0919414E-01,7.1149879E-01,7.1380138E-01,6.9077553E-01,6.6774986E-01,6.2169725E-01
4.0000000E+00,0.0000000E+00,1.3000000E+02,8.0000000E+02,INTRA_EVENT_STDDEV,5.0000000E+00,7.0689204E-01,7.4603736E-01,7.5524704E-01,7.3222472E-01,7.3682735E-01,7.0919962E-01,6.6774907E-01,6.5162949E-01,6.4242160E-01,6.5393615E-01,6.5163021E-01,6.5163102E-01,6.5162943E-01,6.5393823E-01,6.5854154E-01,6.5163160E-01,6.6774899E-01,6.9768135E-01,7.0229317E-01,7.0919197E-01,7.1149879E-01,7.1380138E-01,6.9077553E-01,6.6775091E-01,6.2169713E-01
4.5000000E+00,0.0000000E+00,1.3000000E+02,8.0000000E+02,INTRA_EVENT_STDDEV,5.0000000E+00,7.0689355E-01,7.4603703E-01,7.5524740E-01,7.3222218E-01,7.3682667E-01,7.0920176E-01,6.6775062E-01,6.5163025E-01,6.4242047E-01,6.5393331E-01,6.5163301E-01,6.5163093E-01,6.5163285E-01,6.5393412E-01,6.5853817E-01,6.5163480E-01,6.6774916E-01,6.9768239E-01,7.0228878E-01,7.0919593E-01,7.1149879E-01,7.1380138E-01,6.9077553E-01,6.6774848E-01,6.2169877E-01
5.0000000E+00,0.0000000E+00,1.3000000E+02,8.0000000E+02,INTRA_EVENT_STDDEV,5.0000000E+00,7.0689209E-01,7.4604013E-01,7.5525035E-01,7.3222381E-01,7.3682599E-01,7.0919580E-01,6.6774590E-01,6.5163591E-01,6.4242267E-01,6.5392837E-01,6.5162927E-01,6.5163385E-01,6.5163394E-01,6.5393605E-01,6.5854393E-01,6.5163125E-01,6.6775080E-01,6.9768456E-01,7.0229010E-01,7.0919465E-01,7.1149879E-01,7.1380138E-01,6.9077553E-01,6.6775343E-01,6.2169937E-01
5.5000000E+00,0.0000000E+00,1.3000000E+02,8.0000000E+02,INTRA_EVENT_STDDEV,5.0000000E+00,7.0689295E-01,7.4603697E-01,7.5524662E-01,7.3222194E-01,7.3682641E-01,7.0919654E-01,6.6774840E-01,6.5163133E-01,6.4242128E-01,6.5393342E-01,6.5163124E-01,6.5163256E-01,6.5163361E-01,6.5393605E-01,6.5854262E-01,6.5163474E-01,6.6774784E-01,6.9768164E-01,7.0228743E-01,7.0919609E-01,7.1149879E-01,7.1380138E-01,6.9077553E-01,6.6775030E-01,6.2169677E-01
6.0000000E+00,0.0000000E+00,1.3000000E+02,8.0000000E+02,INTRA_EVENT_STDDEV,5.0000000E+00,7.0689417E-01,7.4603634E-01,7.5524695E-01,7.3222069E-01,7.3682676E-01,7.0919712E-01,6.6774727E-01,6.5163472E-01,6.4242073E-01,6.5393552E-01,6.5163409E-01,6.5162981E-01,6.5163438E-01,6.5393629E-01,6.5854024E-01,6.5163153E-01,6.6775047E-01,6.9768219E-01,7.0228910E-01,7.0919833E-01,7.1149879E-01,7.1380138E-01,6.9077553E-01,6.6774881E-01,6.2169651E-01
6.5000000E+00,0.0000000E+00,1.3000000E+02,8.0000000E+02,INTRA_EVENT_STDDEV,5.0000000E+00,7.0689224E-01,7.4603701E-01,7.5525445E-01,7.3222581E-01,7.3682391E-01,7.0919742E-01,6.6775182E-01,6.5163406E-01,6.4242294E-01,6.5393483E-01,6.5163318E-01,6.5163411E-01,6.5163288E-01,6.5393233E-01,6.5853920E-01,6.5163098E-01,6.6775041E-01,6.9768381E-01,7.0228570E-01,7.0919881E-01,7.1149879E-01,7.1380138E-01,6.9077553E-01,6.6774686E-01,6.2169135E-01
6.9000000E+00,0.0000000E+00,1.3000000E+02,8.0000000E+02,INTRA_EVENT_STDDEV,5.0000000E+00,7.0689047E-01,7.4603992E-01,7.5524923E-01,7.3221968E-01,7.3682800E-01,7.0919440E-01,6.6775040E-01,6.5163337E-01,6.4241953E-01,6.5393570E-01,6.5163000E-01,6.5163132E-01,6.5163035E-01,6.5393350E-01,6.5854011E-01,6.5163155E-01,6.6775129E-01,6.9767999E-01,7.0229202E-01,7.0919303E-01,7.1149879E-01,7.1380138E-01,6.9077553E-01,6.6774781E-01,6.2170060E-01
4.0000000E+00,0.0000000E+00,1.6000000E+02,8.0000000E+02,INTRA_EVENT_STDDEV,5.0000000E+00,7.0689379E-01,7.4603887E-01,7.5525044E-01,7.3222482E-01,7.3683322E-01,7.0919371E-01,6.6775236E-01,6.5163105E-01,6.4242430E-01,6.5393436E-01,6.5163147E-01,6.5163453E-01,6.5162811E-01,6.5393342E-01,6.5854042E-01,6.5163071E-01,6.6775063E-01,6.9768274E-01,7.0228983E-01,7.0919896E-01,7.1149879E-01,7.1380138E-01,6.9077553E-01,6.6774826E-01,6.2169790E-01
4.5000000E+00,0.0000000E+00,1.6000000E+02,8.0000000E+02,INTRA_EVENT_STDDEV,5.0000000E+00,7.0689337E-01,7.4603543E-01,7.5524558E-01,7.3222181E-01,7.3682919E-01,7.0919555E-01,6.6775135E-01,6.5163226E-01,6.4242107E-01,6.5393152E-01,6.5163162E-01,6.5163015E-01,6.5163417E-01,6.5393290E-01,6.5853814E-01,6.5163462E-01,6.6774768E-01,6.9768548E-01,7.0228699E-01,7.0919740E-01,7.1149879E-01,7.1380138E-01,6.9077553E-01,6.6775103E-01,6.2169639E-01
5.0000000E+00,0.0000000E+00,1.6000000E+02,8.0000000E+02,INTRA_EVENT_STDDEV,5.0000000E+00,7.0689274E-01,7.4603671E-01,7.5525003E-01,7.3222440E-01,7.3682677E-01,7.0919566E-01,6.6774944E-01,6.5163408E-01,6.4242255E-01,6.5393287E-01,6.5163122E-01,6.5162893E-01,6.5163505E-01,6.5393401E-01,6.5853879E-01,6.5163095E-01,6.6774758E-01,6.9768445E-01,7.0228986E-01,7.0920164E-01,7.1149879E-01,7.1380138E-01,6.9077553E-01,6.6774959E-01,6.2169725E-01
5.5000000E+00,0.0000000E+00,1.6000000E+02,8.0000000E+02,INTRA_EVENT_STDDEV,5.0000000E+00,7.0689473E-01,7.4603342E-01,7.5524688E-01,7.3222011E-01,7.3682725E-01,7.0919741E-01,6.6774856E-01,6.5163124E-01,6.4242043E-01,6.5393277E-01,6.5163121E-01,6.5162820E-01,6.5163295E-01,6.5393208E-01,6.5853876E-01,6.5163513E-01,6.6774958E-01,6.9767907E-01,7.0228949E-01,7.0919598E-01,7.1149879E-01,7.1380138E-01,6.9077553E-01,6.6775183E-01,6.2170065E-01
6.0000000E+00,0.0000000E+00,1.6000000E+02,8.0000000E+02,INTRA_EVENT_STDDEV,5.0000000E+00,7.0689450E-01,7.4603908E-01,7.5524828E-01,7.3222376E-01,7.3682656E-01,7.0919633E-01,6.6774952E-01,6.5163188E-01,6.4242081E-01,6.5392992E-01,6.5163160E-01,6.5163102E-01,6.5163186E-01,6.5393487E-01,6.5853943E-01,6.5163160E-01,6.6775099E-01,6.9768615E-01,7.0229249E-01,7.0919489E-01,7.1149879E-01,7.1380138E-01,6.9077553E-01,6.6774828E-01,6.2169922E-01
